title,year,conference
 Eigenfaces vs,1997, fisherfaces: recognition usingclass specific linear projection
 Pattern Recognition and Machine Learning,2006, Springer
 A compositionalobject-based approach to learning physical dynamics,2016, CoRR
 Infogan:Interpretable representation learning by information maximizing generative adversarial nets,2016, CoRR
 Unsupervised learning of disentangled representationsfrom video,2017, In I
 Semanticallydecomposing the latent spaces of generative adversarial networks,2017, CoRR
 Comparison and mapping facilitate relation discoveryand predication,2013, PLOS ONE
 Language as cognitive tool kit: How language supports relational thought,0003, AmericanPsychologist
 From few to many: Illumination cone modelsfor face recognition under variable lighting and pose,2001, IEEE Trans
 beta-vae: Learning basic visual concepts with aconstrained variational framework,2017, In ICLR
 Analogy and relational reasoning,2012, In Keith J Holyoak and Robert G Morrison (eds
 Multimodal unsupervised image-to-image translation,2018, CoRR
 Auto-encoding variational bayes,2014, In Yoshua Bengio and YannLeCun (eds
 Autoencoding beyond pixelsusing a learned similarity metric,2015, CoRR
 Disentan-gling factors of variation in deep representations using adversarial training,2016, CoRR
 Distributed representationsof words and phrases and their compositionality,2013, In C
 Linguistic regularities in continuous space wordrepresentations,2013, In Proceedings of the 2013 Conference of the North American Chapter of theAssociation for Computational Linguistics: Human Language Technologies
 Discrete-Time Signal Processing,0131, Prentice Hall Press
 Variational bayesian inference with stochasticsearch,2012, In ICML
 The effectiveness of data augmentation in image classification usingdeep learning,2017, CoRR
 Deep visual analogy-making,2015, In C
 A simple neural network module for relational reasoning,2017, InI
 Style transfer from non-paralleltext by cross-alignment,2017, CoRR
 Howto train deep variational autoencoders and probabilistic ladder networks,2016, CoRR
 A dependence maximization viewof clustering,2007, In IN ZOUBIN GHAHRAMANI
 Mocogan: Decomposing motionand content for video generation,2017, CoRR
 Relational neuralexpectation maximization: Unsupervised discovery of objects and their interactions,2018, CoRR
 Decomposing motionand content for natural video sequence prediction,2017, CoRR
