title,year,conference
 A markovian decision process,1957, Indiana Univ
 A survey of monte carlo tree search methods,2012, IEEETransactions on Computational Intelligence and AI in Games
 Alphazero for a non-deterministic game,2018, In 2018 Conferenceon Technologies and Applications of Artificial Intelligence (TAAI)
 Self-normalizing neuralnetworks,2017, ArXiv
 Bandit based monte-carlo planning,2006, volume 2006
 Montecarlo *-minimax search,2013, 08 2013
 Game theory,2013, Cambridge UniversityPress
 Human-level control through deep reinforcement learning,2015, Nature
 Nannon: A nano backgammon for machine learning research,2005, In CIG
 Mastering the game of go withdeep neural networks and tree search,1476, Nature
 Reinforcement Learning: An Introduction,2018, The MIT Press
 Temporal difference learning and td-gammon,1995, J
 Monte carlo tree search inbackgammon,2007, 2007
 Design and im-plementation of chinese dark chess programs,2014, IEEE Transactions on Computational Intelligenceand AI in Games
 Model-free reinforcement learning algorithms: A survey,2019, In 201927th Signal Processing and Communications Applications Conference (SIU)
