title,year,conference
 Cross-domain car detection using unsupervised image-to-image translation: From day to night,2019, In 2019 International Joint Conference on Neural Networks(IJCNN)
 Obfuscated gradients give a false sense ofsecurity: Circumventing defenses to adversarial examples,2018, arXiv preprint arXiv:1802
 Are self-driving carssecure? evasion attacks against deep neural networks for steering angle prediction,2019, In 2019 IEEESecurity and Privacy Workshops (SPW)
 Star-gan: Unified generative adversarial networks for multi-domain image-to-image translation,2018, InProceedings of the IEEE conference on computer vision and pattern recognition
 Deep learning for classical japanese literature,2018, arXiv preprint arXiv:1812
 Emnist: Extending mnistto handwritten letters,2017, In 2017 International Joint Conference on Neural Networks (IJCNN)
 Imagenet: A large-scale hi-erarchical image database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 Onrobustness and transferability of convolutional neural networks,2020, arXiv preprint arXiv:2007
 Provable tradeoffs in adver-sarially robust classification,2020, arXiv preprint arXiv:2006
 Generating realistic unrestricted adversarial inputsusing dual-objective gan training,2019, arXiv preprint arXiv:1905
 Ex-ploring the landscape of spatial robustness,2017, arXiv preprint arXiv:1712
 Robust physical-world attacks on deep learningvisual classification,2018, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Safety verification and robustness anal-ysis of neural networks via quadratic constraints and semidefinite programming,2019, arXiv preprintarXiv:1903
 Efficientand accurate estimation of lipschitz constants for deep neural networks,2019, In Advances in NeuralInformation Processing Systems
 Unsupervised domain adaptation by backpropagation,2015, InInternational conference on machine learning
 Explaining and harnessing adversarialexamples,2014, arXiv preprint arXiv:1412
 Benchmarking neural network robustness to common cor-ruptions and perturbations,2019, arXiv preprint arXiv:1903
 Natural adversarialexamples,2019, arXiv preprint arXiv:1907
 The many faces of robustness: A criticalanalysis of out-of-distribution generalization,2020, arXiv preprint arXiv:2006
 Semantic adversarial examples,2018, In Proceedings of theIEEE Conference on Computer Vision and Pattern Recognition Workshops
 A database for handwritten text recognition research,1994, IEEE Transactions onpattern analysis and machine intelligence
 The robust manifolddefense: Adversarial training using generative models,2017, arXiv preprint arXiv:1712
 Invariance vs,2020, robustness of neuralnetworks
 An empirical evaluation of current con-volutional architectures’ ability to manage nuisance location and scale variability,2016, In Proceedingsof the IEEE Conference on Computer Vision and Pattern Recognition
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Learning latent subspaces in variational autoencoders,2018, InAdvances in Neural Information Processing Systems
 Deep learning,2015, Nature
 Diverseimage-to-image translation via disentangled representations,2018, In Proceedings of the Europeanconference on computer vision (ECCV)
 Generative adversarial trainer: Defense to adver-sarial perturbations with gan,2017, arXiv preprint arXiv:1705
 Mode seeking genera-tive adversarial networks for diverse image synthesis,2019, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Readingdigits in natural images with unsupervised feature learning,2011, NIPS Workshop on Deep Learningand Unsupervised Feature Learning
 Toward anunderstanding of adversarial examples in clinical trials,2018, In Joint European Conference on MachineLearning and Knowledge Discovery in Databases
 Deepxplore: Automated whitebox testing ofdeep learning systems,2017, In proceedings of the 26th Symposium on Operating Systems Principles
 Certified defenses against adversarial exam-ples,2018, arXiv preprint arXiv:1801
 Defense-gan: Protecting classifiers againstadversarial attacks using generative models,2018, arXiv preprint arXiv:1805
 The German Traffic SignRecognition Benchmark: A multi-class classification competition,2011, In IEEE International JointConference on Neural Networks
 Intriguing properties of neural networks,2013, arXiv preprint arXiv:1312
 Measuring robustness to natural distribution shifts in image classification,2020, arXiv preprintarXiv:2007
 Traffic sign detection under challeng-ing conditions: A deeper look into performance variations and spectral characteristics,2019, IEEETransactions on Intelligent Transportation Systems
 Adversarial discriminative domainadaptation,2017, In Proceedings of the IEEE conference on computer vision and pattern recognition
 A three-player gan: gen-erating hard samples to improve classification networks,2019, In 2019 16th International Conferenceon Machine Vision Applications (MVA)
 A direct approach to robust deep learning using adversarial net-works,2019, arXiv preprint arXiv:1905
 Deep visual domain adaptation: A survey,2018, Neurocomputing
 Stochastic conditional generativenetworks with basis decomposition,2019, arXiv preprint arXiv:1909
 Provable Defenses Against Adversarial Examples Via the ConvexOuter Adversarial Polytope,2017, arXiv preprint arXiv:1711
 Learning perturbation sets for robust machine learning,2020, arXiv preprintarXiv:2007
 Generating adver-sarial examples with adversarial networks,2018, arXiv preprint arXiv:1801
 Spatially trans-formed adversarial examples,2018, arXiv preprint arXiv:1801
 Fashion-mnist: a novel image dataset for benchmark-ing machine learning algorithms,2017, arXiv preprint arXiv:1708
 Cold case: The lost mnist digits,2019, In Advances in Neural InformationProcessing Systems
 Dualgan: Unsupervised dual learning for image-to-image translation,2017, In Proceedings of the IEEE international conference on computer vision
 Adadelta: an adaptive learning rate method,2012, arXiv preprint arXiv:1212
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, In Proceedings of the IEEE international conferenceon computer vision
 Toward multimodal image-to-image translation,2017, In Advances in neural informationprocessing systems
