title,year,conference
 TensorFlow: A System for Large-scaleMachine Learning,2016, In OSDI
 Learning Natural Coding Conventions,2016, PhD thesis
 A Survey of Machine Learning for Big Codeand Naturalness,2018, CSUR
 code2vec: Learning Distributed Representations ofCode,2018, In POPL
 A General Path-Based Representation for PredictingProgram Properties,2018, In PLDI
 A Survey on Compiler Autotun-ing using Machine Learning,2018, CSUR
 Code Mapping in Heterogeneous Platforms UsingDeep Learning and LLVM-IR,2019, In DAC
 Neural Code Comprehension: A Learnable Represen-tation of Code Semantics,2018, In NeurIPS
 Learning a Static Analyzer from Data,2017, In CAV
 Compiler-Based Graph Representations forDeep Learning Models of Code,2020, In CC
 Engineering a Compiler,2012, Elsevier
 End-to-end Deep Learning of OptimizationHeuristics,2017, In PACT
 Synthesizing Benchmarks for PredictiveModeling,2017, In CGO
 A Deep Tree-Based Model for Software Defect Predic-tion,2018, arXiv:1802
 The Program Dependence Graph and Its Use inOptimization,1987, TOPLAS
 Convolutional Sequence to Se-quence Learning,2017, In ICML
 Neural Message Passing forQuantum Chemistry,2017, In ICML
 Portable Mapping of Data Parallel Programs to OpenCLfor Heterogeneous Systems,2013, In CGO
 NeuroVectorizer: End-to-End Vectorization with Deep Reinforcement Learning,2020, CGO
 Improving NeuralNetworks by Preventing Co-adaptation of Feature Detectors,2012, arXiv:1207
 Batch Normalization: Accelerating Deep Network Training by ReducingInternal Covariate Shift,2015, In ICML
 Global Data Flow Analysis and Iterative Algorithms,1976, JACM
 Monotone Data Flow Analysis Frameworks,1977, Acta Informatica
 IR2Vec: AFlow Analysis based Scalable Infrastructure for Program Encodings,2019, arXiv:1909
 A Unified Approach to Global Program Optimization,1973, In POPL
 Adam: a Method for Stochastic Optimization,2015, ICLR
 A Fast Algorithm for Finding Dominators in a Flow Graph,1979, TOPLAS
 Graph Matching Networks for Learning theSimilarity of Graph Structured Objects,2019, In ICML
 Compiler auto-vectorization withimitation learning,2019, 2019
 Device Placement Optimization with Reinforcement Learning,2017, In ICML
 Convolutional Neural Networks over Tree Structuresfor Programming Language Processing,2016, In AAAI
" Predicting Program Properties from ""Big Code""",2015, In POPL
 ModelingRelational Data with Graph Convolutional Networks,2018, In ESWC
 Learning Execution throughNeural Code Fusion,2020, In ICLR
 Learning Loop Invariants for ProgramVerification,2018, In NeurIPS
 Improved Semantic Representations From Tree-StructuredLong Short-Term Memory Networks,2015, arXiv:1503
 Attention Is All You Need,2017, In NIPS
 Machine learning in Compiler Optimization,2018, Proceedings of the IEEE
 Deep Learning on Graphs: A Survey,2020, TKDE
