title,year,conference
 Unsupervisedlabel noise modeling and loss correction,2019, In ICML
 A closer look at memorization in deep networks,2017, In ICML
 Mixmatch: A holistic approach to semi-supervised learning,2019, NeurIPS
 Combining labeled and unlabeled data with co-training,1998, InCOLT
 Training object detectors with noisy data,2019, In IEEE IntelligentVehicles Symposium
 MMDetection: Open mmlab detection toolbox andbenchmark,2019, arXiv preprint arXiv:1906
 Understanding and utilizingdeep neural networks trained with noisy labels,2019, In ICML
 Weakly supervised object local-ization with multi-fold multiple instance learning,2017, TPAMI
 Localizing objects while learning theirappearance,2010, In ECCV
 Solving the multiple instanceproblem with axis-parallel rectangles,1997, Artif
 NOTE-RCNN: noise tolerantensemble RCNN for semi-supervised object detection,2019, In ICCV
 Fast R-CNN,2015, In ICCV
 Semi-supervised learning by entropy minimization,2005, In NIPS
 Co-teaching: Robust training of deep neural networks with extremely noisy labels,2018, InNeurIPS
 Deep residual learning for image recog-nition,2016, In CVPR
 Acquisition of localizationconfidence for accurate object detection,2018, In ECCV
 Mentornet: Learning data-driven curriculum for very deep neural networks on corrupted labels,2018, In ICML
 Learningintelligent dialogs for bounding box annotation,2018, In CVPR
 Cleannet: Transfer learning forscalable image classifier training with label noise,2018, In CVPR
 Dividemix: Learning with noisy labels as semi-supervised learning,2020, In ICLR
 Feature pyramid networks for object detection,2017, In CVPR
 Training object classdetectors from eye tracking data,2014, In ECCV
 Training object classdetectors with click supervision,2017, In CVPR
 Extreme clicking forefficient object annotation,2017, In ICCV
 Training deep neural networks on noisy labels with bootstrapping,2015, In ICLR
 Faster R-CNN: towards real-timeobject detection with region proposal networks,2015, In NIPS
 Best of both worlds: Human-machine collaborationfor object annotation,2015, In CVPR
 Joint optimization frame-work for learning with noisy labels,2018, In CVPR
 Revisiting knowledge transfer for trainingobject class detectors,2018, In CVPR
 Learn-ing from noisy large-scale datasets with minimal supervision,2017, In CVPR
 Probabilistic end-to-end noise correction for learning with noisy labels,2019, InCVPR
 Understandingdeep learning requires rethinking generalization,2017, In ICLR
 Learning to localize objects with noisy labeledinstances,2019, In AAAI
