title,year,conference
 Web-scalebayesian click-through rate prediction for sponsored search advertising in microsoft’s bing searchengine,2010, In Johannes FUrnkranz and Thorsten Joachims (eds
 From on-line to batch learning,1989, In Ronald L
 Ad click prediction: a view fromthe trenches,2013, In Proceedings of the 19th ACM SIGKDD international conference on Knowledgediscovery and data mining
 Deep learning recommendationmodel for personalization and recommendation systems,2019, CoRR
 Smooth minimization of non-smooth fUnctions,2005, Math
 Primal-dUal sUbgradient methods for convex problems,2009, Math
 Product-basedneural networks for user response prediction,2016, In Francesco Bonchi
 Convex Analysis,1970, Princeton Landmarks in Mathematics and Physics
 Group sparse regu-larization for deep neural networks,2016, Neurocomputing
 Online learning for group lasso,2010, InProceedings of the 27th International Conference on Machine Learning
 ADAHESSIAN:an adaptive second order optimizer for machine learning,2020, CoRR
 Adadelta: An adaptive learning rate method,2012, CoRR
