title,year,conference
 Hindsight experience replay,2017, In NeurIPS
 What matters in on-policy re-inforcement learning? A large-scale empirical study,2020, CoRR
 VPE: variational policy embedding for transfer reinforce-ment learning,2019, In ICRA
 A simple framework for contrastive learningof visual representations,2020, CoRR
 Implementa-tion matters in deep RL: A case study on PPO and TRPO,2020, In ICLR
 Parameter-based value functions,2020, CoRR
 Towards effective context for meta-reinforcement learning: an approach based on contrastive learning,2020, CoRR
 Learning policy representationsin multiagent systems,2018, In ICML
 Dream to control: Learning behaviors by latentimagination,2020, In ICLR
 Policy evaluation networks,2020, CoRR
 Learning an em-bedding space for transferable robot skills,2018, In ICLR
 Opponent modeling in deep reinforcement learning,2016, In ICML
 Momentum contrast for unsupervised visualrepresentation learning,2020, In CVPR
 The impact of non-stationarity ongeneralisation in deep reinforcement learning,2020, CoRR
 Approximately optimal approximate reinforcement learning,2002, InICML
 On large-batch trainingfor deep learning: Generalization gap and sharp minima,2017, In ICLR
 Image augmentation is all you need: Regularizing deepreinforcement learning from pixels,2020, CoRR
 Least-squares policy iteration,2003, J
 Reinforcement learning withaugmented data,2020, CoRR
 Context-aware dynamics model for generalization inmodel-based reinforcement learning,2020, CoRR
 Contin-uous control with deep reinforcement learning,2015, In ICLR
 DARTS: differentiable architecture search,2019, In ICLR
 Normalizing flow model for policy representation incontinuous action multi-agent systems,2020, In AAMAS
 Human-level control through deep reinforce-ment learning,2015, Nature
 Error bounds for approximate policy iteration,2003, In ICML
 Data-efficient hierarchical reinforcement learning,2018, CoRR
 Near-optimal representation learning for hierarchicalreinforcement learning,2019, In ICLR
 Sensitivity and general-ization in neural networks: an empirical study,2018, In ICLR
 Representation learning with contrastive predictive coding,2018, CoRR
 Fast adaptation via policy-dynamics valuefunctions,2020, CoRR
 Efficient off-policy meta-reinforcementlearning via probabilistic context variables,2019, In ICML
 Evolution strategies as a scalable alternative toreinforcement learning,2017, CoRR
 Universal value function approximators,2015, In ICML
 Learning retrosynthetic planning through simulatedexperience,2019, ACS central science
 Trust region policy optimization,2015, InICML
 High-dimensional continuous controlusing generalized advantage estimation,2016, In ICLR
 Proximal policy optimizationalgorithms,2017, CoRR
 Data-efficientreinforcement learning with momentum predictive representations,2020, CoRR
 Deterministic policygradient algorithms,2014, In ICML
 Mas-tering the game of go with deep neural networks and tree search,2016, Nature
 CURL: contrastive unsupervised representations for rein-forcement learning,2020, CoRR
 Reinforcement learning - an introduction,1998, Adaptive computation andmachine learning
 Grandmaster level in starcraft ii using multi-agent reinforcementlearning,2019, Nature
 Identifying generalization properties in neuralnetworks,2018, CoRR
 I2hrl: Interactive influence-based hierarchical reinforce-ment learning,2020, In IJCAI
 Graph convolutional policy network forgoal-directed molecular graph generation,2018, In NeurIPS 2018
 Environment probing interaction policies,2019, In ICLR
 Reinforcement learning experiencereuse with policy residual representation,2019, In IJCAI
