title,year,conference
 Machine-learning driven drugrepurposing for COVID-19,2020, arXiv
 Learning to make generaliz-able and diverse predictions for retrosynthesis,2019, arXiv
 Computer-assisted design of complex organic syntheses,1969, Science
 Retrosynthesis prediction withconditional graph logic network,2019, In Proceedings of the Advances in neural information processingsystems 32 (NeurIPS)
 BERT: Pre-training of DeepBidirectional Transformers for Language Understanding,2018, arXiv
 Rich feature hierachies foraccurate object detection,2014, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Deep Residual Learning for ImageRecognition,2016, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 SMILES transformer: Pre-trained molecular fingerprintfor low data drug discovery,2019, arXiv
 Predicting Organic ReactionOutcomes with Weisfeiler-Lehman Network,2017, In Proceedings of the Advances in Neural InformationProcessing Systems 30 (NIPS)
 Junction Tree Variational Autoencoder forMolecular Graph Generation,2018, In Proceedings of the 35th International Conference on MachineLearning (ICML)
 A transformer model for retrosynthesis,2019, InProceedings of the International Conference on Artificial Neural Networks (ICANN): Workshopand special sessions on Artificial Neural Networks and Machine Learning
 Adam: a Method for Stochastic Optimization,2015, In Proceedingsof the 3rd International Conference on Learning Representations (ICLR)
 ImageNet Classification with DeepConvolutional Neural Networks,2012, In Proceedings of the Advances in Neural Information ProcessingSystems 25 (NIPS)
 ALBERT: A Lite BERT for Self-supervised Lerarning of Language Representations,2020, InProceedings of the 8th International Conference on Learning Representations (ICLR)
 BioBERT: a pre-trained biomedical language representation model for biomedical textmining,2019, Bioinformatics
 Retrosynthetic Reaction Prediction UsingNeural Sequence-to-Sequence Models,2017, ACS Central Science
 Fully convolutional networks for semanticsegmentation,2015, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Extraction of Chemical Structures and Reactions from the Literature,2012, PhD thesis
 Improving neural machine translation mod-els with monolingual data,2016, In Proceedings of the 54th annual meeting of the association forcomputational linguistics (volume 1: Long papers) (ACL)
 A graph to graphs frameworkfor retrosynthesis prediction,2020, In Proceedings of the 37th International Conference on MachineLearning (ICML)
 Very deep convolutional networks for large-scale imagerecognition,2015, In Proceedings of the 3rd International Conference on Learning Representations(ICLR)
 Attention Is All You Need,2017, In Proceedings of the Advances in NeuralInformation Processing Systems 30 (NIPS)
 Neural Networks for the Prediction ofOrganic Chemistry Reactions,2016, ACS Central Science
 Self-training with noisystudent improves imagenet classification,2020, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition (CVPR)
 TowardsGood Practices on Building Effective CNN Baseline Model for Person Re-identification,2018, OpticsLetters
 This dataset serves as the standard benchmark in the retrosynthesis studies,2016, The datasetis split into 40K train
