title,year,conference
 Never give up: Learningdirected exploration strategies,2020, In International Conference on Learning Representations(ICLR)
 Heads-up LimitHold’em Poker is solved,2015, Science
 Deep counterfactualregret minimization,2018, CoRR
 Superhuman AI for heads-up no-limit poker:Libratus beats top professionals,2017, Science
 Solving imperfect-information games via dis-counted regret minimization,2018, CoRR
 Superhuman AI for multiplayer poker,2019, Science
 Efficient monte carlocounterfactual regret minimization in games with many player actions,2012, In Advances inNeural Information Processing Systems
 Fictitious self-play in extensive-form games,2015, In Proceedings of the 32nd International Conference on Machine Learning(ICML 2015)
 Deep reinforcement learning from self-play inimperfect-information games,2016, CoRR
 Regret minimization for partiallyobservable deep reinforcement learning,2018, In ICML
 Re-thinking formal models of partially observable multiagent decision making,2019, CoRR
 OpenSpiel:A framework for reinforcement learning in games,2019, CoRR
 Monte Carlosampling for regret minimization in extensive games,2009, In Y
 A unified game-theoretic approach tomultiagent reinforcement learning,2017, In NIPS
 Double neuralcounterfactual regret minimization,2018, CoRR
 Eqilibrium approximation quality of currentno-limit poker bots,2016, CoRR
 Computing approximate equilibria in sequentialadversarial games by exploitability descent,2019, CoRR
 DeepStack: Expert-level artificial intelligencein heads-up no-limit poker,2017, Science
 Understanding andimproving convolutional neural networks via concatenated rectified linear units,2016, CoRR
 Actor-critic policy optimization in partially observablemultiagent environments,2018, In Advances in Neural Information Processing Systems(NeurIPS)
 Reinforcement Learning: An Introduction,2018, MIT Press
 Grandmaster levelin StarCraft II using multi-agent reinforcement learning,2019, Nature
 Solving gameswith functional regret estimation,2015, In Proceedings of the AAAI Conference on ArtificialIntelligence
 Regret minimization in gameswith incomplete information,2008, In Advances in Neural Information Processing Systems20
