title,year,conference
 Towardsfederated learning at scale: System design,2019, arXiv preprint arXiv:1902
 Federated learning with hierarchical clusteringof local updates to improve training on non-iid data,2020, arXiv preprint arXiv:2004
 Leaf: A benchmark for federated settings,2018, arXiv preprint arXiv:1812
 Federated meta-learning withfast convergence and efficient communication,2018, arXiv preprint arXiv:1802
 Adaptive personalized federatedlearning,2020, arXiv preprint arXiv:2003
 Personalized federated learning: A meta-learning approach,2020, arXiv preprint arXiv:2002
 Measuring the effects of non-identical datadistribution for federated visual classification,2019, arXiv preprint arXiv:1909
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, arXiv preprint arXiv:1502
 Adaptive mixtures oflocal experts,1991, Neural computation
 Improving federated learning Per-sonalization via model agnostic meta learning,2019, arXiv preprint arXiv:1909
 Advancesand open problems in federated learning,2019, arXiv preprint arXiv:1912
 Adaptive gradient-based meta-learning methods,2019, In Advances in Neural Information Processing Systems
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Learning multiple layers of features from tiny images,2009, 2009
 Survey of personalization techniques forfederated learning,2020, arXiv preprint arXiv:2003
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Mnist handwritten digit database,2010, 2010
 Three approaches forpersonalization with applications to federated learning,2020, arXiv preprint arXiv:2002
 Communication-efficientlearning of deep networks from decentralized data,2016, arXiv preprint arXiv:1602
 Agnostic federated learning,2019, arXivpreprint arXiv:1902
 Fast inference and learning with sparse beliefpropagation,2005, Advances in Neural Information Processing Systems (NIPS)
 Adaptive federated optimization,2020, arXiv preprintarXiv:2003
 Clustered federated learning:Model-agnostic distributed multi-task optimization under privacy constraints,2019, arXiv preprintarXiv:1910
 Group normalization,2018, In Proceedings of the European Conference onComputer Vision (ECCV)
