title,year,conference
 Contextual relabelling of detected objects,2019, arXiv preprintarXiv:1906
 Visual objects in context,2004, Nature Reviews Neuroscience
 Exploring the bounds of the utility of context for objectdetection,2019, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Tide: A general toolbox for identifyingobject detection errors,2020, 2020
 Cascade r-cnn: Delving into high quality object detection,2018, InProceedings of the IEEE conference on computer vision and pattern recognition
 Hybrid task cascade for instance segmentation,2019, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Context refinement for object detection,2018, In Proceedingsof the European Conference on Computer Vision (ECCV)
 The cityscapes dataset for semantic urbanscene understanding,2016, In Proceedings of the IEEE conference on computer vision and patternrecognition
 An empiricalstudy of context in object detection,2009, In 2009 IEEE Conference on computer vision and PatternRecognition
 Pedestrian detection: An evaluationof the state of the art,2011, IEEE transactions on pattern analysis and machine intelligence
 Fast r-cnn,2015, In Proceedings of the IEEE international conference on computer vision
 Precise detectionin densely packed scenes,2019, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Explaining and harnessing adversarialexamples,2014, arXiv preprint arXiv:1412
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Mask r-cnn,2017, In Proceedings oftheIEEE international conference on computer vision
 Learning spatial context: Using stuff to find things,2008, In Europeanconference on computer vision
 Benchmarking neural network robustness to commoncorruptions and perturbations,2019, arXiv preprint arXiv:1903
 Gather-excite: Exploiting featurecontext in convolutional neural networks,2018, In Advances in Neural Information Processing Systems
 Squeeze-and-excitation networks,2018, In Proceedings of the IEEEconference on computer vision and pattern recognition
 An analysis of pre-training on object detection,2019, arXiv preprint arXiv:1904
 Microsoft coco: Common objects in context,2014, In Europeanconference on computer vision
 Ssd: Single shot multibox detector,2016, In European conference on computervision
 Grid r-cnn,2019, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Benchmarking robustness in objectdetection: Autonomous driving when winter is coming,2019, arXiv preprint arXiv:1907
 Systematic evaluation of convolution neuralnetwork advances on the imagenet,2017, Computer Vision and Image Understanding
 Human-machinecrfs for identifying bottlenecks in scene understanding,2015, IEEE transactions on pattern analysisand machine intelligence
 Libra r-cnn: Towards balanced learning for object detection,2019, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Black-box explanation of object detectors via saliency maps,2020, arXiv preprintarXiv:2006
 Faster r-cnn: Towards real-time objectdetection with region proposal networks,2015, In Advances in neural information processing systems
 The elephant in the room,2018, arXiv preprintarXiv:1808
 An analysis of scale invariance in object detection snip,2018, InProceedings of the IEEE conference on computer vision and pattern recognition
 Contextualizingobject detection and classification,2011, In CVPR 2011
 Intriguing properties of neural networks,2014, In In Proc
 Fcos: Fully convolutional one-stage objectdetection,2019, arXiv preprint arXiv:1904
 Statistical context priming for object detection,2001, In ProceedingsEighth IEEE International Conference on Computer Vision
 Hoggles: Visualizingobject detection features,2013, In Proceedings of the IEEE International Conference on ComputerVision
 Predicting failuresof vision systems,2014, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Bag of freebies fortraining object detection neural networks,2019, arXiv preprint arXiv:1902
 An emPirical study of sPatialattention mechanisms in deeP networks,2019, arXiv preprint arXiv:1904
