title,year,conference
 Con-crete Problems in AI Safety,1606, arXiv:1606
 D4RL: Datasets forDeep Data-Driven Reinforcement Learning,2020, arXiv:2004
 Addressing Function Approximation Error inActor-Critic Methods,1802, arXiv:1802
 Visualizing and UnderstandingAtari Agents,1711, arXiv:1711
 Enabling Robots to Communi-cate their Objectives,2017, Robotics: Science and Systems XIII
 Projection Pursuit,1985, The Annals of Statistics
 ActiVis: Visual Ex-ploration of Industry-Scale Deep Neural Network Models,1704, arXiv:1704
 Deep learning,1476, Nature
 Playing Atari with Deep Reinforcement Learning,1312, arXiv:1312
 The Building Blocks of Interpretability,2018, Distill
 Explainable reinforcement learning: A survey,2020, arXiv preprintarXiv:2005
 Learning humanobjectives by evaluating hypothetical behavior,2019, arXiv preprint arXiv:1912
 Re-ward Estimation for Variance Reduction in Deep Reinforcement Learning,1805, arXiv:1805
 Vega-Lite: AGrammar of Interactive Graphics,1077, IEEE Transactions on Visualization and Computer Graphics
 High-Dimensional Continuous Control Using Generalized Advantage Estimation,1506, arXiv:1506
 Interestingness elements for explainable reinforcement learn-ing: Understanding agents’ capabilities and limitations,0004, Artificial Intelligence
 Deep Inside Convolutional Networks:Visualising Image Classification Models and Saliency Maps,2014, arXiv:1312
 ContrastiveExplanations for Reinforcement Learning in terms of Expected Consequences,1807, arXiv:1807
 Visualizing Dataflow Graphsof Deep Learning Models in TensorFlow,1077, IEEE Transactions on Visualization and ComputerGraphics
 A Deeper Look at Experience Replay,1712, arXiv:1712
