title,year,conference
 Face recog-nition with image sets using manifold density divergence,2005, In 2005 IEEE Computer Society Conference onComputer Vision and Pattern Recognition (CVPRf05)
 Hyperspherical vari-ational auto-encoders,2018, In 34th Conference on Uncertainty in Artificial Intelligence 2018
 Statistical analysis of spherical data,1993, Cambridgeuniversity press
 Generating sentences by editing proto-types,2018, Transactions of the Association for Computational Linguistics
 Deep residual learning for image recognition,2016, InProceedings of the IEEE conference on computer vision and pattern recognition
 Modelling uncertainty in representation offacial features for face recognition,2007, Face recognition
 Labeled faces in the wild: A databaseforstudying face recognition in unconstrained environments,2008, 2008
 The megaface benchmark: 1million faces for recognition at scale,2016, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Probabilistic elastic matching for posevariant face verification,2013, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Sphereface: Deep hypersphereembedding for face recognition,2017, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Face recognition from long-term observations,2002, InEuropean Conference on Computer Vision
 Normface: L2 hypersphere embedding forface verification,2017, In Proceedings of the 25th ACM international conference on Multimedia
 Additive margin softmax for face verification,2018, IEEESignal Processing Letters
 A discriminative feature learning approach for deepface recognition,2016, In European conference on computer vision
 Spherical and hyperbolicembeddings of data,2014, IEEE transactions on pattern analysis and machine intelligence
 Cross-pose lfw: A database for studying cross-pose face recognition inunconstrained environments,2018, Beijing University of Posts and Telecommunications
 Cross-age lfw: A database for studying cross-age face recogni-tion in unconstrained environments,2017, arXiv preprint arXiv:1708
