title,year,conference
 Neural machine translation by jointlylearning to align and translate,2015, In Yoshua Bengio and Yann LeCun (eds
 Training deep nets with sublinear mem-ory cost,2016, CoRR
 Generating long sequences with sparsetransformers,2019, CoRR
 Neural turing machines,2014, CoRR
 Long short-term memory,1997, Neural Comput
 Reformer: The efficient transformer,2020, In8th International Conference on Learning Representations
 Pointer sentinel mixturemodels,2017, In 5th International Conference on Learning Representations
 Attention is all you need,2017, In Isabelle Guyon
 Linformer: Self-attentionwith linear complexity,2020, CoRR
 Big bird: Transformers forlonger sequences,2020, CoRR
