title,year,conference
 Spectral networks and locally con-nected networks on graphs,2014, In International Conference on Learning Representations (ICLR2014)
 Sinkhorn distances: Lightspeed computation of optimal transport,2013, In Advances inneural information processing systems
 Adversarial attack ongraph structured data,2018, arXiv preprint arXiv:1806
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In Advances in neural information processing systems
 Explaining and harnessing adversarialexamples,2015, ICLR
 Three-manifolds with positive ricci curvature,1982, J
 Stochastic blockmodels: Firststeps,1983, Social networks
 Adversarial attacks and defenses on graphs:A review and empirical study,2020, arXiv preprint arXiv:2003
 Graph structurelearning for robust graph neural networks,2020, arXiv preprint arXiv:2005
 Manifolds and Differential Geometry,2009, American MathematicalSoc
 Deeprobust: A pytorch library for adversarial attacksand defenses,2020, arXiv preprint arXiv:2005
 Sample complexity of testing the manifold hypothesis,2010, InJ D Lafferty
 Ricci curvature of theinternet topology,2015, In Proceedings of the 34th Annual IEEE International Conference on ComputerCommunications (INFOCOM’15)
 Network alignment by discrete ollivier-ricci flow,2018, In Proceedings of the 26th International Symposium on Graph Drawing and NetworkVisualization (GD’18)
 Community detection on networks with ricciflow,2019, Scientific Reports
 Dropedge: Towards deep graph convo-lutional networks on node classification,2019, In International Conference on Learning Representations
 Graph curvature for differentiating cancer networks,2015, Scientific reports
 Ollivier-ricci curvature-based method to commu-nity detection in complex networks,2019, Scientific reports
 Intriguing properties of neural networks,2014, ICLR
 Graph attention networks,2018, ICLR
 CUrvatUre graph network,2020, In Proceedingsof the 8th International Conference on Learning Representations (ICLR 2020)
 Graphrnn: Generatingrealistic graphs with deep aUto-regressive models,2018, In International Conference on MachineLearning
 Modeling polypharmacy side effects withgraph convolUtional networks,2018, Bioinformatics
 Adversarial attacks on graph neUral networks via metalearning,2019, The Seventh International Conference on Learning Representations (ICLR)
