title,year,conference
 Possible principles underlying the transformation of sensory messages,1961, In Sensorycommunication
 Network dissection:Quantifying interpretability of deep visual representations,2017, In Proceedings of the IEEE conferenceon computer vision and pattern recognition
 From image processing to computational neuroscience: a neural model basedon histogram equalization,2014, Frontiers in computational neuroscience
 Optimizing the latent spaceof generative networks,2017, arXiv preprint arXiv:1707
 Pros and cons of gan evaluation measures,2019, Computer Vision and Image Understanding
 orgb: A practical opponent color space for computer graph-ics,2009, IEEE Computer Graphics and Applications
 Color constancy by learning to predict chromaticity from luminance,2015, In Advancesin Neural Information Processing Systems
 Deep colorization,2015, In Proceedings of the IEEEInternational Conference on Computer Vision
 Multi-column deep neuralnetwork for traffic sign classification,2012, Neural networks
 Image denoising bysparse 3-d transform-domain collaborative filtering,2007, IEEE transactions on image processing : apublication of the IEEE Signal Processing Society
 Imagenet: A large-scale hi-erarchical image database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 Processing of chromatic information in a deep convolu-tional neural network,2018, JOSA A
 Coding efficiencyof cie color spaces,2008, In Color and Imaging Conference
 Con-trolling perceptual factors in neural style transfer,2017, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Color vision,2003, Annual review of neuroscience
 Sensory and cognitive contributions of color to the recog-nition of natural scenes,2000, Current Biology
 Color vision,1999, Cambridge University Press
 Deep residual learning for image recog-nition,2016, In Proceedings of CVPR
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Nonlinearities and adap-tation of color vision from sequential principal curves analysis,2012, Neural Computation
 Deep-colorfasd: Face anti spoofing solution using a multi channeled color spaces cnn,2018, In 2018 IEEEInternational Conference on Systems
 Learning representations for auto-matic colorization,2016, In European Conference on Computer Vision
 Colorization as a proxy task forvisual understanding,2017, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 A simple coding procedure enhances a neuron’s information capacity,1981, Zeitschriftfur NatUrforschUng c
 Color opponency constitutes a sparserepresentation for the chromatic structure of natural scenes,2001, In Advances in NeUral InformationProcessing Systems
 Deepreid: Deep filter pairing neural network forperson re-identification,2014, In Proceedings of the IEEE conference on compUter vision and patternrecognition
 Microsoft coco: Common objects in context,2014, In Europeanconference on compUter vision
 Information floW in color appearance neural netWorks,2019, arXiv preprintarXiv:1912
 Systematic evaluation of convolution neuralnetWork advances on the imagenet,2017, Computer Vision and Image Understanding
 Color-image quality assessment: From prediction to optimiza-tion,2014, IEEE Transactions on Image Processing
 Unsupervised representation learning With deepconvolutional generative adversarial netWorks,2015, arXiv preprint arXiv:1511
 Color encoding in biologically-inspired convolutional neural net-Works,2018, Vision research
 Color transfer betWeen images,2001, IEEEComputer Graphics and Applications
 Statistics of cone responses tonatural images: implications for visual coding,1998, JOSA A
 Mo-bilenetv2: Inverted residuals and linear bottlenecks,2018, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 A note on the evaluation of generativemodels,2015, arXiv preprint arXiv:1511
 Deep learning and the information bottleneck principle,2015, In2015 IEEE Information Theory Workshop (ITW)
 Neural discrete representation learning,2017, In Advances inNeural Information Processing Systems
 Image quality assessment: from errorvisibility to structural similarity,2004, IEEE Transactions on Image Processing
 Theoretical understanding of the early visual processes by data compression and dataselection,2006, Network: computation in neural systems
 Theoretical understanding of the early visual processes by data compression and dataselection,2006, Network: computation in neural systems
