title,year,conference
 Modular meta-learning,2018, In Aude Billard
 Incremental multi-domainlearning with network latent tensor factorization,2020, In Proceedings of the AAAI Conference onArtificial Intelligence
 Partially shared multi-task convolutional neuralnetwork with local constraint for face attribute learning,2018, In Proceedings of the IEEE Conferenceon Computer Vision and Pattern Recognition
 Multitask learning,1997, Machine learning
 An analysis of single-layer networks in unsupervisedfeature learning,2011, In Proceedings of the International Conference on Artificial Intelligence andStatistics
 Neural architecture search: A survey,2018, CoRR
 Orthogonal gradient descent for continuallearning,2019, CoRR
 Pathnet: Evolution channels gradient descent in super neuralnetworks,2017, CoRR
 Multi-task zipping via layer-wise neuron sharing,2018, InAdvances in Neural Information Processing Systems
 Overcoming catastrophic forgetting in neural networks,2017, Proceedings of theNational Academy of Sciences
 DARTS: differentiable architecture search,2018, CoRR
 Lifelong learning for heterogeneous multi-modal tasks,2019, InProceedings of the International Conference on Robotics and Automation
 Cross-stitch networks formulti-task learning,2016, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Efficient neural architecturesearch via parameter sharing,2018, In Proceedings of the International Conference on Machine Learning
 Progressive neural networks,2016, CoRR
 Overcoming catastrophicforgetting with hard attention to the task,2018, In Proceedings of the International Conference onMachine Learning
 Learning inter-task transferabilityin the absence of target task samples,2015, In Proceedings of the 2015 International Conference onAutonomous Agents and Multiagent Systems
 Regularizing deep multi-task networks using orthogonal gradients,2019, CoRR
 Mnasnet: Platform-aware neural architecture search for mobile,2019, In Proceedings of theIEEE Conference on Computer Vision and Pattern Recognition
 Branched multi-task networks: decidingwhat layers to share,2019, CoRR
 Deephashing network for unsupervised domain adaptation,2017, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Learning what toshare: leaky multi-task network for text classification,2018, In Proceedings of the 27th InternationalConference on Computational Linguistics
 Deep multi-task representation learning: a tensor factori-sation approach,2017, In Proceedings of the International Conference on Learning Representations
 Lifelong learning with dynamically expandablenetworks,2018, In Proceedings of the International Conference on Learning Representations
 Scalable and order-robust continuallearning with additive parameter decomposition,2020, In Proceedings of the International Conferenceon Learning Representations
