title,year,conference
 Tensorflow: A system for large-scale machine learning,2016, In 12th USENIX Symposiumon Operating Systems Design and Implementation
 One-network adversarial fairness,2019, In AAAIConference on Artificial Intelligence
 A reductions approach to fairclassification,2018, In International Conference on Machine Learning
 Big data’s disparate impact,2016, California Law Review
 Man is to computer programmeras woman is to homemaker? Debiasing word embeddings,2016, In Advances in Neural InformationProcessing Systems
 Building classifiers with independency constraints,2009, InIEEE International Conference on Data Mining Workshops
 Semantics derived automatically from language corporacontain human-like biases,2017, Science
 Algorithmic decision making and thecost of fairness,2017, In ACM SIGKDD International Conference on Knowledge Discovery and DataMining
 Algorithmic transparency via quantitative input influence: theory andexperiments with learning systems,2016, In IEEE Symposium on Security and Privacy
 Certifying andremoving disparate impact,2015, In ACM SIGKDD International Conference on Knowledge Discoveryand Data Mining
 Asymmetric shapley values: incorporating causal knowledge intomodel-agnostic explainability,2020, In Advances in Neural Information Processing Systems
 Equality of opportunity in supervised learning,2016, In Advances inNeural Information Processing Systems
 The disparate effects of strategic manipulation,2019, InConference on Fairness
 Inherent trade-offs in the fair determination of riskscores,2017, In Conference on Innovations in Theoretical Computer Science
 Analysis of regression in game theory approach,2001, Applied StochasticModels in Business and Industry
 A unified approach to interpreting model predictions,2017, In Advances inNeural Information Processing Systems
 On fairness and calibration,2017, InAdvances in Neural Information Processing Systems
 A value for n-person games,1953, Contributions to the Theory of Games
 Explaining prediction models and individual predictions with featurecontributions,2014, Knowledge and Information Systems
 Fairness constraints: mechanisms forfair classification,2017, In International Conference on Artificial Intelligence and Statistics
