title,year,conference
 Gradient based sample selectionfor online continual learning,2019, In Advances in Neural Information Processing Systems
 Weight uncertainty inneural networks,2015, arXiv preprint arXiv:1505
 New frameworks for offline and streamingcoreset constructions,2016, arXiv preprint arXiv:1612
 Efficientlifelong learning with a-gem,2018, arXiv preprint arXiv:1812
 On tiny episodic memories in continuallearning,2019, arXiv preprint arXiv:1902
 A continual learning survey: Defying forgetting in classificationtasks,2019, arXiv preprint arXiv:1909
 Uncertainty-guidedcontinual learning with bayesian neural networks,2019, arXiv preprint arXiv:1906
 Orthogonal gradient descent for contin-ual learning,2020, In International Conference OnArtificial Intelligence and Statistics
 An empiri-cal investigation of catastrophic forgetting in gradient-based neural networks,2013, arXiv preprintarXiv:1312
 Overcoming catastrophic interference using conceptor-aided backprop-agation,2018, 2018
 Overcom-ing catastrophic forgetting in neural networks,2017, Proceedings of the national academy of sciences
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Overcomingcatastrophic forgetting by incremental moment matching,2017, In Advances in Neural InformationProcessing Systems
 A neural dirichlet process mixturemodel for task-free continual learning,2020, arXiv preprint arXiv:2001
 Supportnet:solving catastrophic forgetting in class incremental learning with support data,2018, arXiv preprintarXiv:1806
 Gradient episodic memory for continual learning,2017, In Advances in NeuralInformation Processing Systems
 Readingdigits in natural images with unsupervised feature learning,2011, 2011
 icarl:Incremental classifier and representation learning,2017, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Progressive neural networks,2016, arXiv preprintarXiv:1606
 Continual learning with deep generativereplay,2017, In Advances in Neural Information Processing Systems
 A comprehensive guide to bayesian convo-lutional neural network with variational inference,2019, arXiv preprint arXiv:1901
 Few-shot self reminder to overcome catastrophicforgetting,2018, arXiv preprint arXiv:1812
 Lifelong learning with dynamicallyexpandable networks,2017, arXiv preprint arXiv:1708
