title,year,conference
 The non-stochastic multi-armed bandit problem,2001, 2001
 Finite-time analysis of the multiarmed banditproblem,2002, Machine learning
 Near-optimal regret bounds for reinforcementlearning,2009, In Advances in neural information processing systems
 Computationally efficient robustsparse estimation in high dimensions,2017, In Conference on Learning Theory
 Learning from untrusted data,2017, In Proceedingsof the 49th Annual ACM SIGACT Symposium on Theory of Computing
 Robust covariance and scatter matrix estimation underhuber’s contamination model,2018, The Annals of Statistics
 Faster algorithms for high-dimensionalrobust covariance estimation,2019, arXiv preprint arXiv:1906
 Empirically quantifying city-scale transportation system resilience toextreme events,2017, Transportation Research Part C: Emerging Technologies
 On the evolution of random graphs,1960, Publ
 Better algorithms for stochastic bandits withadversarial corruptions,2019, arXiv preprint arXiv:1902
 Robust statistics,2011, Springer
 Stochastic bandits robust to adversarialcorruptions,2018, In Proceedings of the 50th Annual ACM SIGACT Symposium on Theory of Computing
 Corruption robust explo-ration in episodic reinforcement learning,2019, arXiv preprint arXiv:1911
 Robust estima-tion via robust gradient estimation,2018, arXiv preprint arXiv:1802
 Introduction to multi-armed bandits,2019, arXiv preprint arXiv:1904
 Resilience: A criterion for learning in thepresence of arbitrary outliers,2017, arXiv preprint arXiv:1703
 On the likelihood that one unknown probability exceeds another in view ofthe evidence of two samples,1933, Biometrika
 Mathematics and the picturing of data,1975, In Proceedings of the International Congressof Mathematicians
 Random sampling with a reservoir,1985, ACM Transactions on Mathematical Software(TOMS)
