title,year,conference
 The inconvenient truth of carbon offsets,2012, Nature
 Carbontracker: Track-ing and predicting the carbon footprint of training deep learning models,2020, arXiv preprintarXiv:2007
 Monthly energyconsumption forecast: A deep learning approach,2017, In 2017 International Joint Conference onNeural Networks (IJCNN)
 Google colaboratory,2019, In Building Machine Learning and Deep Learning Models onGoogle Cloud Platform
 Cooling systems in data centers: state of art and emergingtechnologies,2015, Energy Procedia
 Training a single ai model can emit as much carbon as five cars in their lifetimes,2019, MITTechnology Review
 To-wards the systematic reporting of the energy and carbon footprints of machine learning,2020, arXivpreprint arXiv:2002
 The non-iid data quagmire ofdecentralized machine learning,2019, arXiv preprint arXiv:1910
 Unpatients—why patients should own their medical data,2015, Naturebiotechnology
 Quantifying thecarbon emissions of machine learning,2019, arXiv preprint arXiv:1910
 The next generation amdenterprise server product architecture,2017, IEEE hot chips
 On the convergence offedavg on non-iid data,2019, arXiv preprint arXiv:1907
 Federated learning: Collaborative machine learning with-out centralized training data,2017, Google Research Blog
 Synthesis report: summary for policymakers,2014, 2014
 Towards federated learning: Robustness analyticsto data heterogeneity,2020, arXiv preprint arXiv:2002
 Smartphones set to boost large-scale health studies,2015, Nature News
 Energy and policy considerations for deeplearning in nlp,2019, arXiv preprint arXiv:1906
