title,year,conference
 Youtube-8m: A large-scale video classificationbenchmark,2016, arXiv preprint arXiv:1609
 Unsupervised state representation learning in atari,2019, In Advances in Neural InformationProcessing Systems
 Fully-convolutional siamese networks for object tracking,2016, In European conference on computer vision
 A simple framework forcontrastive learning of visual representations,2020, arXiv preprint arXiv:2002
 Unsupervised monocular depth estima-tion with left-right consistency,2017, In IEEE Conference on Computer Vision and Pattern Recognition
 Video representation learning by dense predictivecoding,2019, In Proceedings of the IEEE International Conference on Computer Vision Workshops
 Deep residual learning for image recog-nition,2016, In IEEE conference on computer vision and pattern recognition
 Momentum contrast forunsupervised visual representation learning,2020, In IEEE Conference on Computer Vision and PatternRecognition
 Data-efficientimage recognition with contrastive predictive coding,2019, arXiv preprint arXiv:1905
 Learning deep representations by mutual information estima-tion and maximization,2019, In International Conference on Learning Representations
 Long short-term memory,1997, Neural COmputatiOn
 The kinetics human actionvideo dataset,2017, arXiv preprint arXiv:1705
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Cooperative learning of audio and video modelsfrom self-supervised synchronization,2018, In Advances in Neural InfOrmatiOn PrOcessing Systems
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in Neural InfOrmatiOn PrOcessing Systems
 Learning the depths of moving people by watching frozen people,2019, In IEEE COnferenceOn COmputer VisiOn and Pattern RecOgnitiOn
 Visualizing data using t-sne,2008, JOurnal Of machinelearning research
 Self-supervised learning of pretext-invariant representa-tions,2020, In IEEE COnference On COmputer VisiOn and Pattern RecOgnitiOn
 Unsupervised learning of visual representations by solving jigsawpuzzles,2016, In EurOpean COnference On COmputer VisiOn
 Audio-visual scene analysis with self-supervised multisensoryfeatures,2018, In PrOceedings Of the EurOpean COnference On COmputer VisiOn (ECCV)
 The curious robot:Learning visual representations via physical interactions,2016, In European conference on computervision
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Languagemodels are unsupervised multitask learners,2019, 2019
 Self-supervised visual descriptor learning fordense correspondence,2016, IEEE Robotics and Automation Letters
 Unsupervised learning of videorepresentations using lstms,2015, In International conference on machine learning
 Contrastive multiview coding,2019, arXiv preprintarXiv:1906
 Track-ing emerges by colorizing videos,2018, In European Conference on Computer Vision
 Object tracking benchmark,2015, IEEE Transactions onPattern Analysis and Machine Intelligence
 Sun database:Large-scale scene recognition from abbey to zoo,2010, In IEEE Conference on Computer Vision andPattern Recognition
 The sound of pixels,2018, In Proceedings of the European Conference on Computer Vision(ECCV)
