title,year,conference
 Learning to learn via Self-Critique,2019, arXiv preprintarXiv:1905
 Defining Bench-marks for Continual Few-Shot Learning,2020, arXiv preprint arXiv:2004
 Learning from FeW Samples: ASurvey,2020, arXiv preprint arXiv:2007
 A systematic study of the class imbalanceproblem in convolutional neural networks,2018, Neural Networks
 A theoretical analysis of the number of shots in feW-shotlearning,2020, In International Conference on Learning Representations (ICLR)
 A closer lookat few-shot classification,2019, International Conference on Learning Representations (ICLR)
 A Baseline forFew-Shot Image Classification,2020, In International Conference on Learning Representations
 Towards a Neural Statistician,2017, International Conference onLearning Representations (ICLR)
 Model-Agnostic Meta-Learning for Fast Adapta-tion of Deep Networks,2017, International Conference on Machine Learning (ICML)
 Dynamic Few-Shot Visual Learning Without Forgetting,2018, InIEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Low-Shot Visual Recognition by Shrinking and HallucinatingFeatures,2017, IEEE International Conference on Computer Vision (ICCV)
 Brain tumor segmentation with DeepNeural Networks,2017, Medical Image Analysis
 Deep Residual Learning for ImageRecognition,2016, In IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Batch Normalization: Accelerating Deep Network Training byReducing Internal Covariate Shift,2015, International Conference on Machine Learning (ICML)
 Deep learning,2015, Nature
 Learning to Balance: Bayesian Meta-Learning for Imbalanced and Out-of-distributionTasks,2019, International Conference on Machine Learning (ICML)
 Meta-SGD: Learning to Learn Quickly forFew-Shot Learning,2017, arXiv preprint arXiv:1707
 Focal Loss for DenseObject Detection,2017, IEEE International Conference on Computer Vision (ICCV)
 A Comparison of Few-Shot LearningMethods for Underwater Optical and Sonar Image Classification,2020, OCEANS 2020 preprint
 A SUrvey on Transfer Learning,2010, IEEE Transactions on Knowledgeand Data Engineering
 Optimization as a model for few-shot learning,2016, InternationalConference on Learning Representations (ICLR)
 Incremental Few-Shot Learningwith Attention Attractor Networks,2018, arXiv preprint arXiv:1810
 Learning to share visUal appearance for mUlticlassobject detection,2011, IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Deep learning in neural networks: An overview,2015, Neural networks
 Bayesian Few-Shot Classification with One-vs-Each Polya-GammaAugmented Gaussian Processes,2020, arXiv preprint arXiv:2007
 Few-Shot Learning Through an Informa-tion Retrieval Lens,2017, Advances in Neural Information Processing Systems (NeurIPS)
 Match-ing Networks for One Shot Learning,2017, Advances in Neural Information Processing Systems(NeurIPS)
 Contextualizing Enhances Gra-dient Based Meta Learning,2020, arXiv preprint arXiv:2007
 SimpleShot: Revis-iting Nearest-Neighbor Classification for Few-Shot Learning,2019, arXiv preprint arXiv:1911
 Generalizing from a Few Examples:A Survey on Few-Shot Learning,2019, arXiv preprint arXiv:1904
 Learning to model the tail,2017, In Advances inNeural Information Processing Systems (NeurIPS)
