title,year,conference
 Quantum supremacy usinga programmable superconducting processor,2019, Nature
 Parameterized quantum cir-cuits as machine learning models,2019, Quantum Science and Technology
 Quantum advantage with shallow circuits,2018, Science
 Cost-function-dependentbarren plateaus in shallow quantum neural networks,2020, arXiv preprint arXiv:2001
 Gradnorm: Gradientnormalization for adaptive loss balancing in deep multitask networks,2018, In International Conferenceon Machine Learning
 Gradients of parameterized quantum gates using the parameter-shift rule and gatedecomposition,2019, arXiv preprint arXiv:1905
 On the learnability ofquantum neural networks,2020, arXiv preprint arXiv:2007
 Classification with quantum neural networks on near term pro-cessors,2018, arXiv preprint arXiv:1802
 Hierarchical quantum classifiers,2018, npj QuantumInformation
 An initializationstrategy for addressing barren plateaus in parametrized quantum circuits,2019, Quantum
 Quantum algorithm for linear systems ofequations,2009, Physical review letters
 Supervised learning with quantum-enhanced feature spaces,2019, Nature
 Theory of the backpropagation neural network,1992, In Neural networks forperception
 Hardware-efficient variational quantum eigensolver for smallmolecules and quantum magnets,2017, Nature
 Quantum algorithms for deep convolu-tional neural networks,2019, arXiv preprint arXiv:1911
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in neural information processing systems
 Deep learning,2015, Nature
 Bar-ren plateaUs in qUantUm neUral network training landscapes,2018, Nature communications
 CircUit-based qUantUm randomaccess memory for classical data,2019, Scientific reports
 Symbolic integration with respect to the haarmeasUre on the Unitary groUp,2011, arXiv preprint arXiv:1109
 QUantUm sUpport vector machine for bigdata classification,2014, Physical review letters
 CircUit-centric qUantUm classi-fiers,2020, Physical Review A
 Trainability of dissipativeperceptron-based qUantUm neUral netWorks,2020, arXiv preprint arXiv:2005
 Lay-erWise learning for qUantUm neUral netWorks,2020, arXiv preprint arXiv:2006
