title,year,conference
 Who’s in the picture,2004, NeurIPS
 Understanding and improvinginterpolation in autoencoders via an adversarial regularizer,2019, ICLR
 Some classes of global Cramer-rao bounds,1987, TheAnnals of Statistics
 Return of the devil in thedetails: Delving deep into convolutional nets,2014, BMVC
 Glrt-based adaptive detection algorithms forrange-spread targets,2001, IEEE transactions on signal processing
 Arcface: Additive angular margin loss for deep facerecognition,2019, In Computer Vision and Pattern Recognition (CVPR)
 Learning generative visual models from few training examples: Anincremental bayesian approach tested on 101 object categories,2004, In CVPR Workshop
 Unsupervised representation learning bypredicting image rotations,2018, ICLR
 Generative adversarial nets,2014, NeurIPS
 Ms-celeb-1m: A dataset and benchmark for large-scaleface recognition,2016, ECCV
 Noise-contrastive estimation: A new estimation principlefor unnormalized statistical models,2010, In Proceedings of the Thirteenth International Conference onArtificial Intelligence and Statistics
 Deep residual learning for image recognition,2016, Computer Visionand Pattern Recognition
 Labeled faces in the wild: A database forstudying face recognition in unconstrained environments,2007, In Technical Report
 Survey on independent component analysis,1999, 1999
 Batch normalization: Accelerating deep network training by reducinginternal covariate shift,2015, International Conference on Machine Learning
 Auto-encoding variational bayes,2014, ICLR
 Deeply-Supervised Nets,2015, Proceedings ofMachine Learning Research (PMLR)
 Microsoft coco: Common objects in context,2014, In Europeanconference on computer vision
 Statistical theory,2017, Routledge
 Iarpa janus benchmark - c: Face dataset and protocol,2018, InternationalConference on Biometrics
 Hyperspherical prototype netWorks,2019, NeuRIPS
 Voxceleb: a large-scale speaker identifica-tion dataset,2017, arXiv preprint arXiv:1706
 Learning and transferring mid-level image representa-tions using convolutional neural netWorks,2014, CVPR
 Librispeech: an asr corpus based on publicdomain audio books,2015, International Conference on Acoustics
 Cnn features off-the-shelf:an astounding baseline for recognition,2014, CVPR Workshops
 Dropout: A simple Wayto prevent neural netWorks from overfitting,2014, J
 Going deeper With convolutions,2015, CVPR
 Branchynet: Fast inference via early exiting fromdeep neural netWorks,2016, ICPR
 Superseded-cstr vctk corpus:English multi-speaker corpus for cstr voice cloning toolkit,2016, University of Edinburgh
 Cosface: Large margincosine loss for deep face recognition,2018, CVPR
 Iarpa janus benchmark-b face dataset,2017, CVPRWorkshops
 Face recognition in unconstrained videos with matched backgroundsimilarity,2011, CVPR
 Aggregated residual transformations for deep neuralnetworks,2017, CVPR
 Learning face representation from scratch,2014, arXiv
 Joint face detection and alignment using multi-task cascadedconvolutional networks,2016, Signal Processing Letters
 Scan:A scalable neural networks framework towards compact and efficient models,2019, NeurIPS
 Colorful image colorization,2016, ECCV
 Cross-pose lfw: A database for studying cross-pose face recognition in un-constrained environments,2018, Technical Report
 Cross-age lfw: A database for studying cross-age face recognition inunconstrained environments,2017, arXiv
