title,year,conference
 Digital image restoration,1997, IEEE signal processingmagazine
 Learning deep architectures for AI,2009, Now Publishers Inc
 Spectral clustering with graph neuralnetworks for graph pooling,2020, In Proceedings of the 37th international conference on Machinelearning
 Shortest-path kernels on graphs,2005, In ICDM
 Adaptive wavelet thresholding for image denoising andcompression,2000, IEEE transactions on image processing
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In Advances in neural information processing systems
 Graphzoom: A multi-level spectral approach for accurate and scalable graph embedding,2020, ICLR
 Learning structural node embed-dings via diffusion wavelets,2018, In ACM SIGKDD Conference on Knowledge Discovery and DataMining (KDD)
 Ideal spatial adaptation by wavelet shrinkage,1994, biometrika
 A guide to convolution arithmetic for deep learning,2016, arXivpreprint arXiv:1603
 Graph neuralnetworks for social recommendation,2019, In The World Wide Web Conference
 Network deconvolution as ageneral method to distinguish direct dependencies in networks,2013, Nature biotechnology
 Graph u-nets,2019, In ICML
 Wavelets on graphs via spectralgraph theory,2011, Applied and Computational Harmonic Analysis
 Contrastive multi-view representation learning ongraphs,2020, In Proceedings of International Conference on Machine Learning
 A matrix factorization technique with trust propagation for rec-ommendation in social networks,2010, In RecSys
 Variational graph auto-encoders,2016, In Conference on NeuralInformation Processing Systems (NeurIPS) Workshop on Bayesian Deep Learning
 Semi-supervised classification with graph convolutional net-works,2017, In The International Conference on Learning Representations (ICLR)
 Subgraph matching kernels for attributed graphs,2012, ICML
 Blind image deconvolution,1996, IEEE signal processingmagazine
 Self-attention graph pooling,2019, Proceedings of the 36thInternational Conference on Machine Learning (ICML)
 Semi-supervisedgraph classification: A hierarchical graph perspective,2019, In The World Wide Web Conference(WWW)
 Dirichlet graph variational autoencoder,2020, In Neurips
 Diffusion convolutional recurrent neural net-work: Data-driven traffic forecasting,2018, ICLR
 Fully convolutional networks for semanticsegmentation,2015, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Geometric matrix completion with recur-rent multi-graph neural networks,2017, In Neurips
 subgraph2vec: Learning distributed representations of rooted sub-graphs from largegraphs,2017, CoRR
 Efficientgraphlet kernels for large graph comparison,2009, In AISTATS
 Theemerging field of signal processing on graphs: Extending high-dimensional data analysis to net-works and other irregular domains,2013, IEEE Signalprocessing magazine
 Graphvae: Towards generation of small graphs usingvariational autoencoders,2018, In International Conference on Artificial Neural Networks
 Infograph: Unsupervised and semi-supervised graph-level representation learning via mutual information maximization,2020, ICLR
 A note on the evaluation of generativemodels,2016, ICLR
 Graph attention networks,2018, ICLR
 Deep Graph Infomax,2019, In International Conference on Learning Representations
 Sim-plifying graph convolutional networks,2019, In Proceedings of the 36th International Conference onMachine Learning (ICML)
 Deep graph kernels,2015, In KDD
 Enhancing geometric deep learning via graph filter deconvo-lution,2018, In 2018 IEEE Global Conference on Signal and Information Processing (GlobalSIP)
 Visualizing and understanding convolutional networks,2014, InEuropean conference on computer vision
 Graph deconvolu-tional networks,2020, Information Sciences
 Improving recommen-dation lists through topic diversification,2005, In Proceedings of the 14th international conference onWorld Wide Web
