title,year,conference
 Wasserstein GAN,2017, CoRR
 Pushing the EL envelope,2005, In IJCAI
 A theory of learning from different domains,2010, Mach
 Multilingual knowledge graphembeddings for cross-lingual knowledge alignment,2017, In IJCAI
 Joint distributionoptimal transportation for domain adaptation,2017, In NeurIPS
 Convolutional 2Dknowledge graph embeddings,2018, In AAAI
 Yago: A core of semantic knowledge unifyingwordnet and wikipedia,2007, In WWW
 Deepgraph matching consensus,2020, In ICLR
 Unsupervised domain adaptation by backpropagation,2015, InICML
 Unsupervised domain adaptation by backpropagation,2015, InFrancis R
 Learning to exploit long-term relational dependencies inknowledge graphs,2019, In ICML
 Knowledge graph embedding viadynamic mapping matrix,2015, In ACL
 Learning entity and relationembeddings for knowledge graph completion,2015, In AAAI
 Conditional generative adversarial nets,2014, CoRR
 STransE: A novel embedding modelof entities and relationships in knowledge bases,2016, In NAACL
 Semi-supervised entity alignment viaknowledge graph embedding with awareness of degree difference,2019, In WWW
 Improving cross-lingual entity alignment via optimaltransport,2019, In IJCAI
 Wasserstein distance guided representationlearning for domain adaptation,2018, In AAAI
 Cross-lingual entity alignment via joint attribute-preservingembedding,2017, In ISWC
 Bootstrapping entity alignment withknowledge graph embedding,2018, In IJCAI
 Rotate: Knowledge graph embedding byrelational rotation in complex space,2019, In ICLR
 Complexembeddings for simple link prediction,2016, In ICML
 Understanding contrastive representation learning through align-ment and uniformity on the hypersphere,2020, In ICML
 Knowledge graph embedding bytranslating on hyperplanes,2014, In AAAI
 Cross-lingual knowledge graph alignmentvia graph convolutional networks,2018, In EMNLP
 Relation-awareentity alignment for heterogeneous knowledge graphs,2019, In IJCAI
 Embedding entities andrelations for learning and inference in knowledge bases,2015, In ICLR
 A vectorized relational graphconvolutional network for multi-relational network alignment,2019, In IJCAI
 Iterative entity alignment via joint knowledgeembeddings,2017, In IJCAI
