title,year,conference
 Dropout as a bayesian approximation: Representing model uncertaintyin deep learning,2016, In Proceedings of The 33rd International Conference on Machine Learning(ICML 2016)
 Algorithmic assurance: An ac-tive approach to algorithmic testing using bayesian optimisation,2018, In Proceedings of the 32ndInternational Conference on Neural Information Processing Systems (NeurIPS)
 On calibration of modern neural networks,2017, InProceedings of the 34th International Conference on Machine Learning (ICML)
 Bayesian active learning for classificationand preference learning,2011, arXiv:1112
 To trust or not to trust a classifier,2018, In Advances in NeuralInformation Processing Systems (NeurIPS)
 Learning multiple layers of features from tiny images,2009, Technical report
 Simple and scalable predictive uncertainty esti-mation using deep ensembles,2017, In Advances in Neural Information Processing Systems (NeurIPS)
 Gradient-based learning applied to document recog-nition,1998, Proceedings of the IEEE
 A practical bayesian framework for backpropagation networks,1992, Neural Computation
 Bayesian learning for neural networks,1995, PhD thesis
 Reading digits in natural imageswith unsupervised feature learning,2011, 2011
 Predicting good probabilities with supervised learning,2005, InProceedings of the 22nd International Conference on Machine Learning (ICML)
 Probabilistic outputs for support vector machines and comparisons to regularized likeli-hood methods,1999, In Advances in Large Margin Classifiers
 Learning to validate the predictions of black box classifierson unseen data,2020, In Proceedings of ACM SIGMOD (SIGMOD)
 Active learning literature survey,2010, Technical report
 Practical bayesian optimization of machine learningalgorithms,2012, In Advances in Neural Information Processing Systems (NeurIPS)
 Deeptest: Automated testing of deep-neural-network-drivenautonomous cars,2018, In Proceedings of the 40th International Conference on Software Engineering(ICSE)
 Fashion-mnist: a novel image dataset for benchmarking machinelearning algorithms,2017, CoRR
 Transforming classifier scores into accurate multiclass probability es-timates,2002, In Proceedings of the Eighth ACM SIGKDD International Conference on KnowledgeDiscovery and Data Mining (KDD)
