title,year,conference
 Neural module networks,2016, InProceedings ofthe IEEE conference on computer vision and pattern recognition
 Designing neural network architec-tures using reinforcement learning,2016, arXiv preprint arXiv:1611
 On reinforcement learning for deep neural architectures,2016, 2016
 Domain-specificbatch normalization for unsupervised domain adaptation,2019, In Proceedings of the IEEE Conferenceon Computer Vision and Pattern Recognition
 Evolving artificial neural networkswith feedback,2020, Neural Networks
 Cycada: Cycle-consistent adversarial domain adaptation,2018, In Internationalconference on machine learning
 Pattern Anal,2020, Mach
 Modeling rela-tionships in referential expressions with compositional modular networks,2017, In Proceedings of theIEEE Conference on Computer Vision and Pattern Recognition
 Explainable neural computationvia stack neural module networks,2018, In Proceedings of the European conference on computer vision(ECCV)
 Neural gpus learn algorithms,2016, In Yoshua Bengio and Yann LeCun(eds
 Modular networks: Learning to decompose neuralcomputation,2018, In Advances in Neural Information Processing Systems
 Learning transferable features withdeep adaptation networks,2015, In International conference on machine learning
 Deep transfer learning with jointadaptation networks,2017, In International conference on machine learning
 Snr: Sub-network routingfor flexible parameter sharing in multi-task learning,2019, In Proceedings of the AAAI Conference onArtificial Intelligence
 Attentive single-tasking of multi-ple tasks,2019, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Gumbel-matrix routing for flexible multi-task learning,2019, arXiv preprint arXiv:1910
 Cross-stitch networks formulti-task learning,2016, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 K for theprice of 1: Parameter-efficient multi-task and transfer learning,2019, In 7th International Conference onLearning Representations
 Feature partitioning for efficientmulti-task architectures,2019, arXiv preprint arXiv:1908
 Structure learning for neural modulenetworks,2019, arXiv preprint arXiv:1905
 Synthetic to real adaptation with generative correlation alignmentnetworks,2018, In 2018 IEEE Winter Conference on Applications of Computer Vision (WACV)
 Task-drivenmodular networks for zero-shot compositional learning,2019, In Proceedings of the IEEE InternationalConference on Computer Vision
 Self-classifying mnist digits,2020,	Distill
 Routing networks: Adaptive selection ofnon-linear functions for multi-task learning,2017, arXiv preprint arXiv:1711
 Dispatched routing networks,2019, Technical report
 Return of frustratingly easy domain adaptation,2016, InThirtieth AAAI Conference on Artificial Intelligence
 Adashare: Learning what to share for efficientdeep multi-task learning,2019, arXiv preprint arXiv:1911
 Deep domain confusion:Maximizing for domain invariance,2014, arXiv preprint arXiv:1412
 Adversarial discriminative domainadaptation,2017, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Fully test-timeadaptation by entropy minimization,2020, arXiv preprint arXiv:2006
 Blockdrop: Dynamic inference paths in residual networks,2018, In Proceedings ofthe IEEE Conference on Computer Vision and Pattern Recognition
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, In Proceedings of the IEEE international conferenceon computer vision
 Neural architecture search with reinforcement learning,2016, arXiv preprintarXiv:1611
