title,year,conference
 Netgan:Generating graphs via random walks,2018, arXiv preprint arXiv:1803
 Scalable deep generative modelingfor sparse graphs,2020, arXiv preprint arXiv:2006
 Pytorch lightning,2019, GitHub
 Fast graph representation learning with PyTorch Geometric,2019, InICLR Workshop on Representation Learning on Graphs and Manifolds
 A varia-tional inequality perspective on generative adversarial networks,2018, arXiv preprint arXiv:1802
 Generative adversarial nets,2014, In Z
 Identity mappings in deep residualnetworks,2016, In European conference on computer vision
 Categorical reparameterization with gumbel-softmax,2016, 2016
 Transformers are rnns: Fast autoregressivetransformers with linear attention,2020, In Proceedings of the International Conference on MachineLearning (ICML)
 Universal invariant and equivariant graph neural networks,2019, InAdvances in Neural Information Processing Systems
 Variational graph auto-encoders,2016, In NIPS Workshop onBayesianDeep Learning
 The SacredInfrastructure for Computational Research,2017, In Katy Huff
 Learning deep generativemodels of graphs,2018, 2018
 What graph neural networks cannot learn: depth vs width,2019, In InternationalConference on Learning Representations
 The concrete distribution: A continuousrelaxation of discrete random variables,2016, arXiv preprint arXiv:1611
 Weisfeiler and leman go neural: Higher-order graph neural networks,2019, InProceedings of the AAAI Conference on Artificial Intelligence
 Permu-tation invariant graph generation via score-based generative modeling,2020, volume 108 of Proceedingsof Machine Learning Research
 Webplotdigitizer: Version 4,2020,3
 Learning deep generative models,2015, Annual Review of Statistics and ItsApplication
 On universal equivariant set networks,2020, In International Conferenceon Learning Representations
 Set2graph: Learning graphs from sets,2020, arXiv preprint arXiv:2002
 Efficient attention:Attention with linear complexities,2018, CoRR
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Graphrnn: Generatingrealistic graphs with deep auto-regressive models,2018, In ICML
