title,year,conference
 Learning and inference in hierarchical mod-els with singularities,2003, Systems and Computers in Japan
 Resolution of singularities and division of distributions,1970, Communications onPure and Applied Mathematics
 On the inference of Turing machines from sample computations,1972, ArtificialIntelligence
 Adaptiveneural compilation,2016, In Advances in Neural Information Processing Systems
 Stochastic gradient Hamiltonian Monte Carlo,2014, InInternational Conference on Machine Learning
 Derivatives of Turing machines in linear logic,2018, arXiv preprintarXiv:1805
 Computability byprobabilistic machines,1956, Automata studies
 Towards common-sense reasoning viaconditional simulation: legacies of Turing in artificial intelligence,2014, Turing’s Legacy
 Program synthesis,2017, Foundations and Trendsin Programming Languages
 Resolution of singularities of an algebraic variety over a field of characteristiczero: I,1964, Annals of Mathematics
 The No-U-Turn sampler: adaptively setting path lengthsin Hamiltonian Monte Carlo,2014, J
 Neural GPUs learn algorithms,2016, In International Conference onLearning Representations
 Neural programmer: Inducing latent programswith gradient descent,2016, In International Conference on Learning Representations
 Discovering neural nets with low KoImogorov complexity and high general-ization capability,1997, Neural Networks
 A formal theory of inductive inference,1964, Part I
 Intelligent machinery,1948, NPL Mathematics Division
 Bayesian learning via stochastic gradient Langevin dynamics,2011, InProceedings of the 28th International Conference on Machine Learning
 Cyclicalstochastic gradient MCMC for Bayesian deep learning,2020, In International Conference on LearningRepresentations
