title,year,conference
 Communication effi-cient distributed kernel principal component analysis,2016, In Proceedings of the 22nd ACM SIGKDDInternational Conference on Knowledge Discovery and Data Mining
 Approximate kernel k-means: So-lution to large scale kernel clustering,2011, In Proceedings of the 17th ACM SIGKDD InternationalConference on Knowledge Discovery and Data Mining
 Scalable kernel clustering: Approxi-mate kernel k-means,2014, arXiv preprint arXiv:1402
 Dimen-sionality reduction for k-means clustering and low rank approximation,2015, In Proceedings of the47th Annual ACM Symposium on Theory of Computing
 Applied numerical linear algebra,1997, SIAM
 Kernel k-means: spectral clustering and nor-malized cuts,2004, In Proceedings ofthe 10th ACM SIGKDD International Conference on KnowledgeDiscovery and Data Mining
 On the equivalence of nonnegative matrix factoriza-tion and spectral clustering,2005, In Proceedings of the 2005 SIAM International Conference on DataMining
 Calibrating noise to sensitivityin private data analysis,2006, In Theory of cryptography conference
 An efficient framework forclustered federated learning,2020, arXiv preprint arXiv:2006
 Random feature maps for dot product kernels,2012, In Proceedingsof the 15th International Conference on Artificial Intelligence and Statistics
 Federated learning: Strategies for improving communication efficiency,2016, arXivpreprint arXiv:1610
 An iteration method for the solution of the eigenvalue problem of linear differ-ential and integral operators,1950, United States Governm
 Three approaches forpersonalization with applications to federated learning,2020, arXiv preprint arXiv:2002
 Decentralized eigenvalue algorithms for distributed signaldetection in wireless networks,2014, IEEE Transactions on Signal Processing
 Random features for large-scale kernel machines,2008, In Advances inNeural Information Processing Systems 20
 Federated multi-tasklearning,2017, In Advances in Neural Information Processing Systems 30
 Differentially private k-meansclustering,2016, In Proceedings of the 6th ACM Conference on Data and Application Security andPrivacy
 A distributed frame-work for trimmed kernel k-means clustering,2015, Pattern recognition
 Federated machine learning: Conceptand applications,2019, ACM Transactions on Intelligent Systems and Technology
 Applied federated learning: Improving google keyboard querysuggestions,2018, arXiv preprint arXiv:1812
 Spectral relaxation fork-means clustering,2001, In Advances in Neural Information Processing Systems 14
 Stochastic optimization forkernel PCA,2016, In Proceedings of the 30th AAAI Conference on Artificial Intelligence
