title,year,conference
 Soft-nms-improving objectdetection with one line of code,2017, In Proceedings of the IEEE international conference on computervision
 Monet: Unsupervised scene decomposition and represen-tation,2019, arXiv preprint arXiv:1901
 Inference suboptimality in variational autoen-coders,2018, In Proceedings of the 35th International Conference on Machine Learning
 GENESIS: GenerativeScene Inference and Sampling of Object-Centric Latent Representations,2020, Proceedings of theInternational Conference on Learning Representations (ICLR)
 Neural expectation maximization,2017, InAdvances in Neural Information Processing Systems
 Multi-object representationlearning with iterative variational inference,2019, In Proceedings of the 36th International Conferenceon Machine Learning
 Learning to de-compose and disentangle representations for video prediction,2018, In Advances in Neural InformationProcessing Systems
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Multi-object rep-resentation learning with iterative variational inference,2020, In Proceedings of the 37th InternationalConference on Machine Learning
 Space: Unsupervised object-oriented scene representation via spatialattention and decomposition,2020, In International Conference on Learning Representations
 Leveraging the exact likelihood of deep latent variablemodels,2018, In Advances in Neural Information Processing Systems
 Edge and curve detection for visual scene analysis,1971, IEEETransactions on ComPuters
 Markov chain monte carlo and variationalinference: Bridging the gap,2015, In International Conference on Machine Learning
 Greedy learning of multiple objects in imagesusing robust statistics and factorial learning,2004, Neural ComPutation
0log-normal likelihood strength	1,2020,0KL (GAUSSIAN PRIOR) STRENGTH β	0
