title,year,conference
 Learning in structured mdps with convex cost functions: Improvedregret bounds for inventory management,2019, arXiv preprint arXiv:1905
 Multiperiod airline overbooking with a single fare class,1998, Operations Research
 Convergence of stochastic iterativedynamic programming algorithms,1993, In Proceedings of the 6th International Conference on NeuralInformation Processing Systems
 Multidimensional binary search for contextualdecision-making,2016, CoRR
 The logic of logistics,2014, theory
 Adaptive discretization for episodic rein-forcement learning in metric spaces,2019, Proceedings of the ACM on Measurement and Analysis ofComputing Systems
 Introduction to multi-armed bandits,2019, arXiv preprint arXiv:1904
 Technical note: Q-learning,1992, Machine Learning
 learning in repeated auctions,2016, 2016
 Marrying stochastic gradient descent with bandits: Learningalgorithms for inventory systems with fixed costs,2019, Available at SSRN
 Closing the gap: A learning algorithm for the lost-salesinventory system with lead times,2018, Available at SSRN 2922820
 Stochastic one-sided full-information bandit,2019, CoRR
