title,year,conference
 A kernel-learning approach to semi-supervisedclustering with relative distance comparisons,2015, In Machine Learning and Knowledge Discovery inDatabases
 Semi-supervised kernel mean shift clus-tering,2014, IEEE Trans
 Layer normalization,1607, 2016
 Neural machine translation by jointlylearning to align and translate,2015, In Yoshua Bengio and Yann LeCun (eds
 Information-theoreticmetric learning,2007, In ICML ’07
 Imagenet: A large-scale hierarchicalimage database,2009, In 2009 IEEE Conference on Computer Vision and Pattern Recognition
 A survey ofkernel and spectral methods for clustering,2008, Pattern Recognition
 Amortized inference in probabilistic reasoning,2014, CognitiveScience
 Learning to discover novel visual categories viadeep transfer clustering,2019, In International Conference on Computer Vision (ICCV)
 Deep residual learning for image recognition,2016, In 2016 IEEEConference on Computer Vision and Pattern Recognition (CVPR)
 Learning to cluster in order to transfer across do-mains and tasks,2018, In International Conference on Learning Representations
 Multi-class classi-fication without multi-class labels,2019, In International Conference on Learning Representations
 Siamese neural networks for one-shotimage recognition,2015, In Proceedings of ICML
 Learning multiple layers of features from tiny images,2009, Technical Report
 Human-level concept learningthrough probabilistic program induction,2015, Science
 The omniglot challenge: a3-year progress report,2019, Current Opinion in Behavioral Sciences
 Deep amortized clustering,2019, 2019b
 A survey of clustering with deep learning:From the perspective of network architecture,2018, IEEE Access
 Vision science: Photons to phenomenology,1999, MIT press
 Meta-learning with latent embedding optimization,2019, In International Conferenceon Learning Representations
 The graph neural networkmodel,2009, IEEE Transactions on Neural Networks
 Online and batch learning of pseudo-metrics,2004, In ICML ’04
 Very deep convolutional networks for large-scale imagerecognition,2015, In International Conference on Learning Representations
 Graph Attention Networks,2018, International Conference on Learning Representations
 Match-ing networks for one shot learning,2016, In Adv
 A tutorial on spectral clustering,2007, Statistics and computing
 All of Nonparametric Statistics,2006, Springer
 Deep cosine metric learning for person re-identification,2018, In 2018IEEE winter conference on applications of computer vision (WACV)
 Learning to compare image patches via convolutional neuralnetworks,2015, In 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Graph convolutional networks: acomprehensive review,2019, Computational Social Networks
