title,year,conference
 Deep learning for segmentation ofbrain tumors: Impact of cross-institutional training and testing,2018, Medical physics
 Recognition in terra incognita,2018, In Proceedings ofthe European Conference on Computer Vision
 Synthetic examples improve generalization for rare classes,2020, In Proceedings of theIEEE Workshop on Applications of Computer Vision
 Gender shades: Intersectional accuracy disparities in commer-cial gender classification,2018, In Conference on fairness
 3D shapes dataset,2018, https://github
 Understanding disentangling in β-VAE,2017, In Workshop on LearningDisentangled Representations at the 31st Conference on Neural Information Processing Systems
 Hallucinating agnosticimages to generalize across domains,2019, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition Workshops
 Causality matters in medical imaging,2020, NatureCommunications
 Isolating sources of disentangle-ment in variational autoencoders,2018, In Advances in Neural Information Processing Systems
 InfoGAN:Interpretable representation learning by information maximizing generative adversarial nets,2016, InAdvances in Neural Information Processing Systems
 Star-Gan: Unified generative adversarial networks for multi-domain image-to-image translation,2018, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 AutoAugment:Learning augmentation strategies from data,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 RandAugment: Practical auto-mated data augmentation with a reduced search space,2020, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition Workshops
 Dark model adaptation: Semantic image segmentation from day-time to nighttime,2018, In International Conference on Intelligent Transportation Systems
 Imagenet: A large-scalehierarchical image database,2009, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 On the transfer of disentangled representationsin realistic settings,2021, In Proceedings of the International Conference on Learning Representations
 Animage is worth 16x16 words: Transformers for image recognition at scale,2021, In Proceedings of theInternational Conference on Learning Representations
 Machine learningfor medical imaging,2017, Radiographics
 Model-agnostic meta-learning for fast adaptationof deep networks,2017, In Proceedings of the International Conference on Machine Learning
 Domain-adversarial training of neural net-works,2016, Journal ofMachine Learning Research
 Imagenet-trained cnns are biased towards texture; increasing shape bias im-proves accuracy and robustness,2019, In Proceedings of the International Conference on LearningRepresentations
 Model patching: Closing the subgroupperformance gap with data augmentation,2020, arXiv preprint arXiv:2008
 Generative adversarial nets,2014, In Advances in NeuralInformation Processing Systems
 Achieving robustness in the wild via adversarial mixing with disen-tangled representations,2020, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 An instance-dependent simulation framework for learning with label noise,2021, arXiv preprintarXiv:2107
 In search of lost domain generalization,2021, In Proceedings ofthe International Conference on Learning Representations
 Co-teaching: Robust training of deep neural networks with extremely noisy labels,2018, InAdvances in Neural Information Processing Systems
 Deep residual learning for image recog-nition,2016, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Google’s medical ai was super accurate in a lab,2020, real life was a differentstory
 Benchmarking neural network robustness to common cor-ruptions and perturbations,2019, In Proceedings of the International Conference on Learning Repre-sentations
 Using trusted data to traindeep networks on labels corrupted by severe noise,2018, In Advances in Neural Information ProcessingSystems
 Using pre-training can improve model robustnessand uncertainty,2019, In Proceedings of the International Conference on Machine Learning
 AugMix: A simple data processing method to improve robustness and uncertainty,2020, InAdvances in Neural Information Processing Systems
 The many faces of robustness: A criticalanalysis of out-of-distribution generalization,2021, Proceedings of the International Conference onComputer Vision
 β-VAE: Learning basic visual concepts with a con-strained variational framework,2017, In Proceedings of the International Conference on LearningRepresentations
 Darla: Improving zero-shottransfer in reinforcement learning,2017, In Proceedings of the International Conference on MachineLearning
 A style-based generator architecture for generativeadversarial networks,2019, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Learning from noisy singly-labeleddata,2018, In Proceedings of the International Conference on Learning Representations
 Disentangling by factorising,2018, In Proceedings of the InternationalConference on Machine Learning
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 WILDS: Abenchmark of in-the-wild distribution shifts,2020, arXiv preprint arXiv:2012
 Learning methods for generic object recognition withinvariance to pose and lighting,2004, Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Just Train Twice: Improving group robustness without traininggroup information,2021, In Proceedings of the International Conference on Machine Learning
 Challenging common assumptions in the unsupervised learn-ing of disentangled representations,2019, In Proceedings of the International Conference on MachineLearning
 Weakly-supervised disentanglement without compromises,2020, In Proceedings of theInternational Conference on Machine Learning
 Learning transferable features withdeep adaptation networks,2015, In Proceedings of the International Conference on Machine Learning
 Deep transfer learning with jointadaptation networks,2017, In Proceedings of the International Conference on Machine Learning
 dsprites: Disentanglementtesting sprites dataset,2017, https://github
 A surveyon bias and fairness in machine learning,2021, ACM Computing Surveys (CSUR)
 Reducing do-main gap by reducing style bias,2021, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
