title,year,conference
 Bottom-up and top-down attention for image captioning and visual question answer-ing,2018, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Trainable grammars for speech recognition,1979, The Journal of the Acoustical Societyof America
 Lip-reading en-ables the brain to synthesize auditory features of unknown silent speech,2020, Journal of Neuroscience
 Activation ofauditory cortex during silent lipreading,1997, science
 The processing of audio-visual speech: empirical and neural bases,2008, PhilosophicalTransactions of the Royal Society B: Biological Sciences
 Knowledge aided consistency for weakly supervisedphrase grounding,2018, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 On certain formal properties of grammars,1959, Information and control
 Unsupervisedlatent tree induction with deep inside-outside recursive autoencoders,2019, In Proceedings of the An-nual Conference of the North American Chapter of the Association for Computational Linguistics(NAACL)
 Unsupervised parsing with s-diora: Single tree encoding for deep inside-outside recur-sive autoencoders,2020, In Proceedings of the Conference on Empirical Methods in Natural LanguageProcessing (EMNLP)
 Con-trastive learning for weakly supervised phrase grounding,2020, In European Conference on ComputerVision (ECCV)
 Dependency grammar induction with neural lexicalizationand big training data,2017, In Proceedings of the 2017 Conference on Empirical Methods in NaturalLanguage Processing
 Mask r-cnn,2017, In Proceedings oftheIEEE International Conference on Computer Vision (ICCV)
 Vlgrammar: Grounded grammar in-duction of vision and language,2021, Proceedings of the IEEE International Conference on ComputerVision (ICCV)
 A survey on contrastive self-supervised learning,2021, Technologies
 Shared and modality-specific brain regions thatmediate auditory and visual word comprehension,2020, ELife
 Compound probabilistic context-free grammars forgrammar induction,2019, In Proceedings of the Annual Meeting of the Association for ComputationalLinguistics (ACL)
 UnsU-pervised recurrent neural network grammars,2019, In Jill Burstein
 Unifying visual-semantic embeddingswith multimodal neural language models,2014, arXiv
 Constituency parsing with a self-attentive encoder,2018, In Proceedingsof the Annual Meeting of the Association for Computational Linguistics (ACL)
 What is learned in visu-ally grounded neural syntax acquisition,2020, In Proceedings of the Annual Meeting of the Associationfor Computational Linguistics (ACL)
 Syntactic structure distillation pretraining for bidirectional encoders,2020, Transactionsof the Association for Computational Linguistics (TACL)
 A derivation of the inside-outside algorithm from the EM algorithm,2000, IBM TJWatson Research Center
 Microsoft coco: Common objects in context,2014, In EuropeanConference on Computer Vision (ECCV)
 Learning cross-modal context graph for visualgrounding,2020, In Proceedings of the AAAI Conference on Artificial Intelligence (AAAI)
 Relation-aware instance refinement for weaklysupervised visual grounding,2021, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 Multimodal convolutional neural networks formatching image and sentence,2015, In Proceedings of the IEEE International Conference on ComputerVision (ICCV)
 Probabilistic context-free grammars,2011, In NLP course note
 Glove: Global vectors for wordrepresentation,2014, In Proceedings of the Conference on Empirical Methods in Natural Language Pro-cessing (EMNLP)
 Deep contextualized word representations,2018, In Marilyn A
 Flickr30k entities: Collecting region-to-phrase correspondences for richerimage-to-sentence models,2017, IJCV
 Faster r-cnn: Towards real-time ob-ject detection with region proposal networks,2015, In Workshop on Advances in Neural InformationProcessing Systems (NIPS)
 Groundingof textual phrases in images by reconstruction,2016, In European Conference on Computer Vision(ECCV)
 Neural language modeling byjointly learning syntax and lexicon,2018, In International Conference on Learning Representations(ICLR)
 Ordered neurons: Integratingtree structures into recurrent neural networks,2019, International Conference on Learning Representa-tions (ICLR)
 Visually grounded neural syntax ac-quisition,2019, In Proceedings of the Annual Meeting of the Association for Computational Linguistics(ACL)
 Unsupervised learning of stochastic and-or templates for ob-ject modeling,2011, In 2011 IEEE International Conference on Computer Vision Workshops (ICCVWorkshops)
 Linguistically-informed self-attention for semantic role labeling,2018, In Proceedings of the Conference on EmpiricalMethods in Natural Language Processing (EMNLP)
 Effective learning is accompanied by high-dimensional and efficientrepresentations of neural activity,2019, Nature neuroscience
 Improving weaklysupervised visual grounding by contrastive knowledge distillation,2021, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition (CVPR)
 MAF: Multi-modal alignment framework for weakly-supervised phrase grounding,2020, In Proceedings ofthe 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)
 Maf: Multimodalalignment framework for weakly-supervised phrase grounding,2020, In Proceedings of the Conferenceon Empirical Methods in Natural Language Processing (EMNLP)
 Recognition and parsing of context-free languages in time n3,1967, Information andcontrol
 Video-aided un-supervised grammar induction,2021, In Proceedings of the Annual Conference of the North AmericanChapter of the Association for Computational Linguistics (NAACL)
 Pyramid scene parsingnetwork,2017, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Visually grounded compound PCFGs,2020, In Proceedings ofthe 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)
 Visually grounded compound pcfgs,2020, In Proceedings of the Conferenceon Empirical Methods in Natural Language Processing (EMNLP)
 Reasoning visual dialogs withstructural and partial observations,2019, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 The return of lexical dependencies: Neural lexicalizedpcfgs,2020, Transactions of the Association for Computational Linguistics (TACL)
