title,year,conference
 Language models are few-shot learners,2020, In NeurIPS
 Neuralmessage passing for quantum chemistry,2017, In ICML
 Simple GNN Regularisationfor 3D Molecular Property Prediction and Beyond,2022, In ICLR
 ForceNet: A Graph Neural Network for Large-ScaleQuantum Calculations,2021, arXiv preprint arXiv:2103
 Gpipe: Efficienttraining of giant neural networks using pipeline parallelism,2019, In NeurIPS
 Accelerating graph samplingfor graph machine learning using gpus,2021, arXiv preprint arXiv:2009
 Neural message Pass-ing with edge updates for predicting properties of molecules and materials,2018, arXiv preprintarXiv:1806
 Adam: A method for stochastic optimization,2015, In ICLR
 Fast anduncertainty-aware directional message passing for non-equilibrium molecules,2020, In NeurIPS-W
 Directional message passing for molec-ular graphs,2020, In ICLR
 GemNet: Universal Directional GraphNeural Networks for Molecules,2021, In NeurIPS
 Quantifying thecarbon emissions of machine learning,2019, arXiv preprint arXiv:1910
 Spherical messagepassing for 3d molecular graphs,2022, In ICLR
 Decoupled weight decay regularization,2019, arXiv preprintarXiv:1711
 Neu-graph: Parallel deep neural network computation on large graphs,2019, In USENIX Annual TechnicalConference
 Schnet: A continuous-filter convolutional neural networkfor modeling qUantUm interactions,2017, In NeurIPS
 Green AI,2019, arXiv preprintarXiv:1907
 Megatron-lm: Training multi-billion parameter language models using model par-allelism,2020, arXiv preprint arXiv:1909
 Rotation Invariant Graph Neural Networks using Spin Convolu-tions,2021, arXiv preprint arXiv:2106
 Energy and policy considerations for deeplearning in NLP,2019, arXiv preprint arXiv:1906
 Reducing communication in graph neural net-work training,2020, arXiv preprint arXiv:2005
 Crystal graph convolutional neural networks for an accurate andinterpretable prediction of material properties,2018, Physical review letters
 AGL: a Scalable System for Industrial-purposeGraph Machine Learning,2020, arXiv preprint arXiv:2003
 DistDGL: Distributed Graph Neural Network Training for Billion-ScaleGraphs,2021, arXiv preprint arXiv:2010
 Graph neural networks: A review of methods and applica-tions,2020, AI Open
