title,year,conference
 Towards open set deep networks,2016, In Proceedings of theIEEE/CVF Conference on Computer Vision and Pattern Recognition
 Convex optimization,2004, Cambridgeuniversity press
 On the effectiveness of imagerotation for open set domain adaptation,2020, In European Conference on Computer Vision
 Domain generalizationvia model-agnostic learning of semantic features,2019, In Advances in Neural Information ProcessingSystems
 Adversari-ally adaptive normalization for single domain generalization,2021, In Proceedings of the IEEE/CVFConference on Computer Vision and Pattern Recognition
 Learning to detect open classes foruniversal domain adaptation,2020, In European Conference on Computer Vision
 Unsupervised domain adaptation by backpropagation,2015, InInternational Conference on Machine Learning
 Recent advances in open set recognition: Asurvey,2020, IEEE Transactions on Pattern Analysis and Machine Intelligence
 Geodesic flow kernel for unsuperviseddomain adaptation,2012, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition
 Benchmarking neural network robustness to commoncorruptions and perturbations,2019, In International Conference on Learning Representations
 A database for handwritten text recognition research,1994, IEEE Transactions on PatternAnalysis and Machine Intelligence
 Temporal ensembling for semi-supervised learning,2017, In InternationalConference on Learning Representations
 Learning to generalize: Meta-learning for domain generalization,2018, In Proceedings of the AAAI Conference on Artificial Intelli-gence
 Separate to adapt: Openset domain adaptation via progressive separation,2019, In Proceedings of the IEEE/CVF Conference onComputer Vision and Pattern Recognition
 Conditional adversarialdomain adaptation,2018, In Advances in Neural Information Processing Systems
 Domain generalization via invariantfeature representation,2013, In International Conference on Machine Learning
 Readingdigits in natural images with unsupervised feature learning,2011,2011
 Open set domain adaptation,2017, In Proceedings of the IEEEInternational Conference on Computer Vision
 Adapting visual category models to newdomains,2010, In European Conference on Computer Vision
 Ovanet: One-vs-all network for universal domain adaptation,2021, InProceedings of the IEEE International Conference on Computer Vision
 Open set domain adaptationby backpropagation,2018, In European Conference on Computer Vision
 Universal domain adaptation throughself supervision,2020, Advances in Neural Information Processing Systems
 Regularization with stochastic transforma-tions and perturbations for deep semi-supervised learning,2016, In Advances in Neural InformationProcessing Systems
 Generalizing across domains via cross-gradient training,2018, In International Conferenceon Learning Representations
 Open domaingeneralization with domain-augmented meta-learning,2021, In Proceedings of the IEEE/CVF Conferenceon Computer Vision and Pattern Recognition
 Certifying some distributional robustness withprincipled adversarial training,2018, In International Conference on Learning Representations
 Efficient processing of deep neuralnetworks: A tutorial and survey,2017, Proceedings of the IEEE
 Principles of risk minimization for learning theory,1992, In Advances in NeuralInformation Processing Systems
 Deephashing network for unsupervised domain adaptation,2017, In Proceedings of the IEEE/CVF Conferenceon Computer Vision and Pattern Recognition
 Generalizing to unseen domains via adversarial data augmentation,2018, In Advances inNeural Information Processing Systems
 Universaldomain adaptation,2019, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition
 Wide residual networks,2016, In British Machine VisionConference
 Maximum-entropy adversarial data augmenta-tion for improved generalization and robustness,2020, In Advances in Neural Information ProcessingSystems
 Domain generalizationvia entropy regularization,2020, In Advances in Neural Information Processing Systems
 Learning to generate noveldomains for domain generalization,2020, In European Conference on Computer Vision
 Domain generalization: Asurvey,2021, arXiv preprint arXiv:2103
 Domain generalization with mixstyle,2021, InInternational Conference on Learning Representations
 Self-supervised universal domain adaptation with adaptive memoryseparation,2021, In International Conference on Data Mining
 Cross-domain graph convolutions foradversarial unsupervised domain adaptation,2021, IEEE Transactions on Neural Networks and LearningSystems
 Transferable feature learning on graphsacross visual domains,2021, In International Conference on Multimedia and Expo
