title,year,conference
 Loss surface simplexes for mode connect-ing volumes and fast ensembling,2021, In M
 Salina:Sequential learning of agents,2021, https://gitHub
 Diversity is all you need: Learning skills withouta reward function,2018, CoRR
 Model-Agnostic Meta-Learning for Fast Adaptation of DeepNetworks,2017, arXiv e-prints
 Learning an embeddingspace for transferable robot skills,2018, In ICLR (Poster)
 Benchmark environ-ments for multitask learning in continuous domains,2017, ICML Lifelong Learning: A ReinforcementLearning Approach Workshop
 Learning adaptiveexploration strategies in dynamic environments through informed policy regularization,2020, CoRR
 Explain-ing landscape connectivity of low-cost solutions for multilayer nets,2019, In H
 One solution is not all you need: Few-shot ex-traPolation via structured maxent RL,2020, In H
 One solution is not all you need: Few-shot extraPola-tion via structured maxent RL,2020, CoRR
 Transfer in reinforcement learning: a framework and a survey,2012, In Reinforcement Learn-ing
 DecouPling exPloration and exPloitation formeta-reinforcement learning without sacrifices,2021, In M
 Linear mode connectivityin multitask and continual learning,2021, In 9th International Conference on Learning Representations
 Robust deeP reinforcement learning through adversarialloss,2020, CoRR
 Sim-to-Real Transfer of Robotic Controlwith Dynamics Randomization,2017, arXiv e-prints
 Proximal policy optimizationalgorithms,2017, CoRR
 Mastering chess and shogi byself-play with a general reinforcement learning algorithm,2017, CoRR
 Improving exploration in soft-actor-critic with normaliz-ing flows policies,2019, CoRR
 Multi-task reinforcement learning: A hierarchicalbayesian approach,9781, In Proceedings of the 24th International Conference on Machine Learning
 Learning neural networksubspaces,2021, In M
 Robust reinforcement learning on state observationswith learned optimal adversary,2021, In 9th International Conference on Learning Representations
