title,year,conference
 Mincut pooling in graph neuralnetworks,2019, CoRR
 FastGCN: Fast learning with graph convolutional networksvia importance sampling,2018, In International ConferenCe on Learning RePresentations
 Eyeriss: A spatial architecture for energy-efficientdataflow for convolutional neural networks,2016, In 2016 ACM/IEEE 43rd AnnUal InternatiOnalSymPOSiUm on COmPUter ArChiteCtUre (ISCA)
 Kernel k-means: Spectral clustering and normal-ized cuts,1581, In Proceedings of the Tenth ACM SIGKDD InternatiOnal COnference on KnowledgeDiSCOVery and Data Mining
 Want to start a startup? http:〃www,2012,paulgraham
 Deep learn-ing with limited numerical precision,2015, In Francis Bach and David Blei (eds
 Inductive representation learning on large graphs,2017, InAdVanCeS in neural information PrOCeSSing systems
 Learning both weights and connectionsfor efficient neural networks,2015, In Proceedings of the 28th International Conference on NeUralInfOrmatiOn Processing SyStemS - VoIUme 1
 Open graph benchmark: Datasets for machine learning on graphs,2020, CoRR
 Graph-mlp:Node classification without message passing in graph,2021, CoRR
 Combining la-bel propagation and simple models out-performs graph neural networks,2021, In InternationalConference onLearning RePreSentations
 Boost then convolve: Gradient boosting meets graphneural networks,2021, CoRR
 Redundancy-freecomputation for graph neural networks,2020, In Proceedings of the 26th ACM SIGKDD InternationalConference on Knowledge DiSCOVery & Data Mining
 Graph condensationfor graph neural networks,2022, In ICLR
 Adam: A method for stochastic optimization,2015, In ICLR (Poster)
 Joint embedding of structure and featuresvia graph convolutional networks,2020, APPIied NetWOrk Science
 New benchmarks for learning on non-homophilous graphs,2021, CoRR
 Degree-quant:Quantization-aware training for graph neural networks,2021, In International COnferenCe on LearningRePreSentations
 Mlp-mixer: Anall-mlp architecture for vision,2021, arXiv Preprint arXiv:2105
 Resmlp: Feedforwardnetworks for image classification with data-effiCient training,2021, arXiv PrePrint arXiv:2105
 Graph attention networks,2017, arXiv PrePrint arXiv:1710
 Graphsail:Graph structure aware incremental learning for recommender systems,2020, In Proceedings of the29th ACM International COnferenCe on InfOrmatiOn amp; Knowledge Management
 Tinygnn: Learning efficientgraph neural networks,2020, In Proceedings of the 26th ACM SIGKDD International Conference onKnowledge DiSCOVery &#38; Data Mining (KDD)
 Agl: a scalable system for industrial-purpose graphmachine learning,2020, arXiv PrePrint arXiv:2003
 Layer-dependentimportance sampling for training deep and large graph convolutional networks,2019, arXiv PrePrintarXiv:1911
