title,year,conference
 End-to-end object detection with transformers,2020, In Proceedings of the Eu-ropean Conference on Computer Vision
 Multi-view incremental segmentation of 3-d pointclouds for mobile robots,2019, Robotics and Automation Letters
 Rethinking attention with per-formers,2021, In International Conference on Learning Representations
 Nonlinear wavelettransforms for image coding via lifting,2003, Transactions on Image Processing
 Up-detr: Unsupervised pre-training forobject detection with transformers,2021, In Proceedings of the Conference on Computer Vision andPattern Recognition
 Funnel-transformer: Filtering out sequentialredundancy for efficient language processing,2020, In Advances in Neural Information ProcessingSystems
 Ten lectures on wavelets,1992, SIAM
 Factoring wavelet transforms into lifting steps,1998, Journal ofFourier Analysis and Applications
 An im-age is worth 16x16 words: Transformers for image recognition at scale,2020, In International Confer-ence on Learning Representations
 Point transformer,2021, IEEE Access
 Multiscale vision transformers,2021, In Proceedings of the InternationalConference on Computer Vision
 Zur theorie der orthogonalen funktionensysteme,1910, Mathematische Annalen
 A point cloud registration pipeline using gaussianprocess regression for bathymetric slam,2020, In International Conference on Intelligent Robots andSystems
 Wavelet-srnet: A wavelet-based cnn for multi-scale face super resolution,2017, In Proceedings of the International Conference on Computer Vision
 Generative adversarial transformers,2021, In International Conferenceon Machine Learning
 Pyramid point cloud transformerfor large-scale place recognition,2021, In Proceedings of the International Conference on ComputerVision
 Hierarchicalpoint-edge interaction network for point cloud semantic segmentation,2019, In Proceedings of theInternational Conference on Computer Vision
 Transformers arernns: Fast autoregressive transformers with linear attention,2020, In International Conference on Ma-chine Learning
 Semi-supervised classification with graph convolutional net-works,2017, In International Conference on Learning Representations
 Reformer: The efficient transformer,2020, InInternational Conference on Learning Representations
 Pointcnn: Convolu-tion on x-transformed points,2018, Advances in Neural Information Processing Systems
 Convolution in the cloud: Learningdeformable kernels in 3d graph convolution networks for point cloud analysis,2020, In Proceedings ofthe Conference on Computer Vision and Pattern Recognition
 Wavelet-based dual-branch network for image demoire´ing,2020, In Proceedings of the Euro-pean Conference on Computer Vision
 Point2sequence: Learning theshape representation of 3d point clouds with an attention-based sequence to sequence network,2019, InProceedings of the AAAI Conference on Artificial Intelligence
 Relation-shape convolutional neuralnetwork for point cloud analysis,2019, In Proceedings of the Conference on Computer Vision andPattern Recognition
 Lifting based wavelet transforms on graphs,2009, In Proceedingsof Asia-Pacfic Signal and Information Processing Association
 Pointnet: Deep learning on point setsfor 3d classification and segmentation,2017, In Proceedings of the Conference on Computer Vision andPattern Recognition
 Frustum pointnets for 3dobject detection from rgb-d data,2018, In Proceedings of the Conference on Computer Vision andPattern Recognition
 Pointnet++: Deep hierarchicalfeature learning on point sets in a metric space,2017, Advances in Neural Information ProcessingSystems
 Single image depth prediction with wavelet decomposition,2021, In Proceedings of Conferenceon Computer Vision and Pattern Recognition
 Deep adaptive wavelet network,2020, In Proceedings of theWinter Conference on Applications of Computer Vision
 Burst denois-ing via temporally shifted wavelet transforms,2020, In Proceedings of the European Conference onComputer Vision
 Wavelets on graphs via deep learning,2013, Advances in NeuralInformation Processing Systems
 Second generation wavelets: theory and application,2011, University of Minnesota
 Mining point cloud local structures by kernelcorrelation and graph pooling,2018, In Proceedings of the Conference on Computer Vision and PatternRecognition
 Point-gnn: Graph neural network for 3d object detection in a pointcloud,2020, In Proceedings of the Conference on Computer Vision and Pattern Recognition
 Wavelets and the lifting scheme: A 5 minute tour,1996, Journal of Applied Mathematicsand Mechanics
 The lifting scheme: A construction of second generation wavelets,1998, SIAM Journalon Mathematical Analysis
 Sparse sinkhorn attention,2020, InInternational Conference on Machine Learning
 Kpconv: Flexible and deformable convolution for point clouds,2019, InProceedings of the International Conference on Computer Vision
 Revis-iting point cloud classification: A new benchmark dataset and classification model on real-worlddata,2019, In Proceedings of the International Conference on Computer Vision
 Attention is all you need,2017, In Advances in Neural Infor-mation Processing Systems
 Max-deeplab: End-to-end panoptic segmentation with mask transformers,2021, In Proceedings of the Conference on Com-puter Vision and Pattern Recognition
 Wavelet pooling for convolutional neural networks,2018, In InternationalConference on Learning Representations
 3d shapenets: A deep representation for volumetric shapes,2015, In Proceedings of theConference on Computer Vision and Pattern Recognition
 Geometry sharing network for 3d point cloud classificationand segmentation,2020, In Proceedings of the AAAI Conference on Artificial Intelligence
 Paconv: Position adaptive convolu-tion with dynamic kernel assembling on point clouds,2021, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Spidercnn: Deep learning on pointsets with parameterized convolutional filters,2018, In Proceedings of the European Conference onComputer Vision
 A scalable active framework for region annotation in3d shape collections,2016, Transactions on Graphics
 Syncspeccnn: Synchronized spectral cnnfor 3d shape segmentation,2017, In Proceedings of the Conference on Computer Vision and PatternRecognition
 Pointr: Diverse pointcloud completion with geometry-aware transformers,2021, In Proceedings of the International Confer-ence on Computer Vision
 Deep sets,2017, Advances in Neural Information Processing Systems
 Learning joint spatial-temporal transformationsfor video inpainting,2020, In Proceedings of the European Conference on Computer Vision
 Featurepyramid transformer,2020, In Proceedings of the European Conference on Computer Vision
 Point transformer,2021, InProceedings of the International Conference on Computer Vision
 Deformable detr: De-formable transformers for end-to-end object detection,2021, In International Conference on LearningRepresentations
