title,year,conference
 Semi-supervisedsemantic segmentation with pixel-level contrastive learning from a class-wise memory bank,2021, InProceedings of the International Conference on Computer Vision (ICCV)
 Mixmatch: A holistic approach to semi-supervised learning,2019, In Advances in NeuralInformation Processing Systems (NeurIPS)
 Encoder-decoder with atrous separable convolution for semantic image segmentation,2018, In Proceedings ofthe European Conference on Computer Vision (ECCV)
 A simple framework forcontrastive learning of visual representations,2020, In Proceedings of the International Conference onMachine Learning (ICML)
 The cityscapes dataset for semanticurban scene understanding,2016, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 The pascal visual object classes challenge: A retrospective,2015, International Journal ofComputer Vision (IJCV)
 Dmt: Dynamic mutual training for semi-supervised learning,2020, arXiv preprintarXiv:2004
 Deep residual learning for image recog-nition,2016, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Momentum contrast forunsupervised visual representation learning,2020, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition (CVPR)
 Adversariallearning for semi-supervised semantic segmentation,2019, In Proceedings of the British Machine VisionConference (BMVC)
 Guided collaborative trainingfor pixel-wise semi-supervised learning,2020, In Proceedings of the European Conference on ComputerVision (ECCV)
 Supervised contrastive learning,2020, Advances in NeuralInformation Processing Systems (NeurIPS)
 PanoPtic feature pyramid net-works,2019, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Pointrend: Image segmentation asrendering,2020, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Featmatch: Feature-based augmen-tation for semi-supervised learning,2020, In Proceedings of the European Conference on ComputerVision (ECCV)
 Semi-supervised semantic segmentation with directional context-aware consistency,2021, In Proceedings ofthe IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Focal loss for dense objectdetection,2017, In Proceedings of the International Conference on Computer Vision (ICCV)
 Fully convolutional networks for semantic seg-mentation,2015, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Semi-supervised segmentation based on error-correcting supervision,2020, In Proceedings of the EuropeanConference on Computer Vision (ECCV)
 Semi-supervised semantic segmenta-tion with high-and low-level consistency,2019, IEEE Transactions on Pattern Analysis and MachineIntelligence (PAMI)
 Virtual adversarial training: aregularization method for supervised and semi-supervised learning,2018, IEEE Transactions on PatternAnalysis and Machine Intelligence (PAMI)
 Classmix: Segmentation-based data augmentation for semi-supervised learning,2021, In IEEE Winter Conference on Applica-tions of Computer Vision (WACV)
 Semi-supervised semantic segmentation withcross-consistency training,2020, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 U-net: Convolutional networks for biomedi-cal image segmentation,2015, In Proceedings of the International Conference on Medical Image Com-puting and Computer Assisted Intervention (MICCAI)
 Fixmatch: Simplifying semi-supervisedlearning with consistency and confidence,2020, In Advances in Neural Information Processing Systems(NeurIPS)
 Sun rgb-d: A rgb-d scene understand-ing benchmark suite,2015, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Mean teachers are better role models: Weight-averaged consis-tency targets improve semi-supervised deep learning results,2017, In Advances in Neural InformationProcessing Systems (NeurIPS)
 Scipy 1,2020,0:fundamental algorithms for scientific computing in python
 Ex-ploring cross-image pixel contrast for semantic segmentation,2021, In Proceedings of the InternationalConference on Computer Vision (ICCV)
 Dense contrastive learning forself-supervised visual pre-training,2021, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 Looking beyond single imagesfor contrastive semantic segmentation learning,2021, In Advances in Neural Information ProcessingSystems (NeurIPS)
 Contrastive learning for label efficient semantic segmentation,2021, InProceedings of the International Conference on Computer Vision (ICCV)
 Improving semantic segmentation via self-training,2020, arXiv preprintarXiv:2004
 Domain adaptation for semantic segmen-tation via class-balanced self-training,2018, arXiv preprint arXiv:1810
 Confidence regularizedself-training,2019, In Proceedings of the International Conference on Computer Vision (ICCV)
 Pseudoseg: Designing pseudo labels for semantic segmentation,2021, In Proceedings of theInternational Conference on Learning Representations (ICLR)
