title,year,conference
 Pseudo-labeling andconfirmation bias in deep semi-supervised learning,2019, arXiv preprint arXiv:1908
 Recovering from selection bias in causal and statistical infer-ence,2014, In Proceedings of the 28th AAAI Conference on Artificial Intelligence
 ReMixMatch: Semi-Supervised Learning with Distribution Alignment and Aug-mentation Anchoring,2019, In International Conference on Learning Representations
 Mixmatch: A holistic approach to semi-supervised learning,2019, In Advances in Neural Informa-tion Processing Systems
 An analysis of single-layer networks in unsupervisedfeature learning,2011, In International Conference on Artificial Intelligence and Statistics
 Class-balanced loss based oneffective number of samples,2019, In IEEE/CVF Conference on Computer Vision and Pattern Recog-nition
 ImageNet: a Large-ScaleHierarchical Image Database,2009, In IEEE/CVF Conference on Computer Vision and Pattern Recog-nition
 Applied Missing Data Analysis,2010, Guilford Press
 Semi-supervised Learning by Entropy Minimization,2005, InAdvances in Neural Information Processing Systems
 Causal inference: What if,2020, Boca Raton: Chapman & Hall/CRC
 SimPLE: Similar Pseudo Label Ex-ploitation for Semi-Supervised Classification,2021, In IEEE/CVF Conference on Computer Vision andPattern Recognition
 Label Propagation for Deep Semi-Supervised Learning,2019, In IEEE/CVF Conference on Computer Vision and Pattern Recognition
 Health-related non-response in the british house-hold panel survey and european community household panel: Using inverse-probability-weightedestimators in non-linear models,2006, Journal of the Royal Statistical Society Series A
 Doubly robust estimation of causal effects,2011, American journal of epidemiology
 Demystifying Double Robustness: A Comparison of Al-ternative Strategies for Estimating a Population Mean from Incomplete Data,2007, Statistical Science
 Multiple imputation: Current perspectives,2007, Statisticalmethods in medical research
 Distribu-tion aligning refinery of pseudo-label for imbalanced semi-supervised learning,2020, In Advances inNeural Information Processing Systems
 Learning Multiple Layers of Features from Tiny Images,2012, Tech
 Addressing the curse of imbalanced training sets: One-sided selection,2000, InternationalConference on Machine Learning
 Temporal ensembling for semi-supervised learning,2016, In InternationalConference on Learning Representations
 Pseudo-label : The simple and efficient semi-supervised learning method for deepneural networks,2013, ICML 2013 Workshop : Challenges in Representation Learning (WREPL)
 Statistical analysis with missing data,2014, New York: John Wiley &Sons
 Machine learning with statistical imputation for predictingdrug approval,2019, Harvard Data Science Review
 Exploring the limits of weaklysupervised pretraining,2018, In European Conference on Computer Vision
 Seeing through the humanreporting bias: Visual classifiers from noisy human-centric labels,2016, In IEEE/CVF Conference onComputer Vision and Pattern Recognition
 In defense of pseudo-labeling:An uncertainty-aware pseudo-label selection framework for semi-supervised learning,2021, In Inter-national Conference on Learning Representations
 A method for inferring label sampling mecha-nisms in semi-supervised learning,2005, In Advances in Neural Information Processing Systems
 Regularization with stochastic transfor-mations and perturbations for deep semi-supervised learning,2016, In Advances in Neural InformationProcessing Systems
 Review of inverse probability weighting for dealing with missingdata,2013, Statistical Methods in Medical Research
 Fixmatch: Simplifying semi-supervised learningwith consistency and confidence,2020, In Advances in Neural Information Processing Systems
 Flexible imputation of missing data,2018, Chapman & Hall/CRC Interdisciplinary Statis-tics
 Analysis of incomplete data using inverse prob-ability weighting and doubly robust estimators,2010, Methodology: European Journal of ResearchMethods for the Behavioral and Social Sciences
 Match-ing Networks for One Shot Learning,2016, In Advances in Neural Information Processing Systems
 Weighted semiparametric estimationin regression analysis with missing covariate data,1997, Journal of the American Statistical Association
 Doubly robust joint learning for recommen-dation on data missing not at random,2019, In Proceedings of the 36th International Conference onMachine Learning
 Crest: A class-rebalancingself-training framework for imbalanced semi-supervised learning,2021, In IEEE/CVF Conference onComputer Vision and Pattern Recognition
 Self-Training With Noisy StudentImproves ImageNet Classification,2020, In IEEE/CVF Conference on Computer Vision and PatternRecognition
 Dash:Semi-supervised learning with dynamic thresholding,2021, In International Conference on MachineLearning
 A Survey on Deep Semi-supervisedLearning,2021, arXiv preprint
 Semi-supervised learning literature survey,2008, Comput Sci
