title,year,conference
 Cache locality is not enough:High-performance nearest neighbor search with product quantization fast scan,2015, Proc
 Estimating or propagating gradients throughstochastic neurons for conditional computation,2013, In arXiv
 Cheap orthogonal constraints in neural networks:A simple parametrization of the orthogonal and unitary group,2019, In ICML
 Sur quelques PrOPrieteS des determinants gauches,1846, Journal fur die reine undangewandte Mathematik
 Differentiable product quantization for end-to-end embeddingcompression,2020, In ICML
 Random projection trees and low dimensional manifolds,2008, InSTOC
 Locality-sensitive hashingscheme based on p-stable distributions,2004, In Proceedings of the twentieth annual symposium onComputational geometry
 Challenges in building large-scale information retrieval systems,2009, In WSDM
 Polysemous codes,2016, In Bastian Leibe
 Optimized product quantization for approximatenearest neighbor search,2013, In CVPR
 Iterative quantization:A procrustean approach to learning binary codes for large-scale image retrieval,2013, PAMI
 The movielens datasets: History and context,2015, Acmtransactions on interactive intelligent systems (tiis)
 Fanng: Fast approximate nearest neighbour graphs,2016, In CVPR
 Ups and downs: Modeling the visual evolution of fashion trendswith one-class collaborative filtering,2016, In WWW
 Orthogonal recurrent neural networks with scaledCayley transform,2018, In ICML
 Embedding-based retrieval in facebook search,2020, InSIGKDD
 Billion-scale similarity search with gpus,2019, IEEETransactions on Big Data
 Blossom v: a new implementation of a minimum cost perfect matchingalgorithm,2009, Mathematical Programming Computation
 The inverted multi-index,2012, In CVPR
 An analysis of svd for deep rotation estimation,2020, arXiv preprintarXiv:2006
 Cheap orthogonal constraints in neural networks:A simple parametrization of the orthogonal and unitary group,2019, arXiv preprint arXiv:1901
 Multi-interest network with dynamic routing for recommendationat tmall,2019, In CIKM
 Distinctive image features from scale-invariant keypoints,0920, International Journal ofComputer Vision
 Efficient and robust approximate nearest neighbor search usinghierarchical navigable small world graphs,2020, IEEE Transactions on Pattern Analysis and MachineIntelligence
 Cartesian k-means,2013, In CVPR
 Multiscale quantization for fast similarity search,2017, In NIPS
 Efficient indexing of billion-scale datasets of deepdescriptors,2016, In CVPR
 Towards personalized and semantic retrieval: An end-to-end solution fore-commerce search via embedding learning,2020, In SIGIR
 Joint learning of deep retrieval model and product quantizationbased embedding index,2021, In SIGIR
 On the continuity of rotationrepresentations in neural networks,2019, In Proceedings of the IEEE/CVF Conference on ComputerVision and Pattern Recognition
 Learning tree-baseddeep model for recommender systems,2018, In SIGKDD
 Learning optimal treemodels under beam search,2020, In ICML
