title,year,conference
 Towards evaluating the robustness of neural networks,2017, In IEEESymposium on Security and Privacy (SP)
 Robust validation: Confidentpredictions even when distributions shift,2020, arXiv preprint arXiv:2008
 Detecting adversarial samples using influencefunctions and nearest neighbors,2020, In Proceedings of the IEEE/CVF Conference on Computer Visionand Pattern Recognition
 Certified adversarial robustness via randomizedsmoothing,2019, In International Conference on Machine Learning
 Randomized smoothing for stochasticoptimization,2012, SIAM Journal on Optimization
 Detecting adversarialsamples from artifacts,2017, arXiv preprint arXiv:1703
 The limits ofdistribution-free conditional predictive inference,2021, Information and Inference: A Journal of theIMA
 Adaptive conformal inference under distribution shift,2021, arXivpreprint arXiv:2106
 Explaining and harnessing adversarialexamples,2015, stat
 Prediction and outlier detection in classification problems,2019, arXivpreprint arXiv:1905
 Why deep-learning ais are so easy to fool,2019, Nature
 Cautious deep learning,2018, arXivpreprintarXiv:1805
 Wilds: A benchmarkof in-the-wild distribution shifts,2021, In International Conference on Machine Learning
 Learning multiple layers of features from tiny images,2009, Master’s thesis
 Certifiedrobustness to adversarial examples with differential privacy,2019, In IEEE Symposium on Security andPrivacy (SP)
 Tight certificates of adversarial ro-bustness for randomly smoothed classifiers,2019, Advances in Neural Information Processing Systems
 Distribution-free prediction sets,2013, Journal of theAmerican Statistical Association
 Certified adversarial robustness withadditive noise,2019, Advances in Neural Information Processing Systems
 On detecting adversarialperturbations,2017, arXiv preprint arXiv:1702
 Estimating divergence functionalsand the likelihood ratio by convex risk minimization,2010, IEEE Transactions on Information Theory
 Inductive confidencemachines for regression,2002, In European Conference on Machine Learning
 Distribution-free uncertainty quantification for classi-fication under label shift,2021, arXiv preprint arXiv:2103
 Conformalized quantile regression,2019, Ad-Vances in Neural Information Processing Systems
 With malice towardnone: Assessing uncertainty via equalized coverage,2020, Harvard Data Science Review
 Classification with valid and adaptive cover-age,2020, Advances in Neural Information Processing Systems
 Denoised smoothing: Aprovable defense for pretrained classifiers,2020, Advances in Neural Information Processing Systems
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 Intriguing properties of neural networks,2014, In 2nd International Conference onLearning Representations
 Conformal predic-tion under covariate shift,2019, Advances in Neural Information Processing Systems
 Conditional validity of inductive conformal predictors,2012, In Asian conference onmachine learning
