title,year,conference
 Understanding deep neuralnetworks with rectified linear units,2018, In International Conference on Learning Representations(ICLR)
 Reconciling modern machine-learning practice and the classical bias-variance trade-off,2019, Proceedings of the National AcademyOfSciences
 On the existence ofuniversal lottery tickets,2022, International Conference on Learning Representations (ICLR)
 Multi-prize lottery ticket hypothesis: Finding accuratebinary neural networks by pruning a randomly weighted network,2021, In International Conference onLearning Representations (ICLR)
 Learning to prune deep neural networks via layer-wise optimal brain surgeon,2017, In Proceedings of the Annual Conference on Neural InformationProcessing Systems (NeurIPS)
 Rigging the lottery:Making all tickets winners,2020, In Proceedings of the International Conference on Machine Learning(ICML)
 Towards strong pruning for lottery ticketswith non-zero biases,2021, arXiv preprint arXiv:2110
 Linear mode con-nectivity and the lottery ticket hypothesis,2020, In Proceedings of the International Conference onMachine Learning (ICML)
 Learning both weights and connections for effi-cient neural network,2015, In Proceedings of the Annual Conference on Neural Information ProcessingSystems (NeurIPS)
 Second order derivatives for network pruning: Optimal brainsurgeon,1992, In Advances in Neural Information Processing Systems (NIPS)
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations (ICLR)
 Optimal brain damage,1990, In Advances in NeuralInformation Processing Systems (NIPS)
 Snip: single-shot network pruningbased on connection sensitivity,2019, In International Conference on Learning Representations (ICLR)
 A signal propa-gation perspective for pruning neural networks at initialization,2020, In International Conference onLearning Representations (ICLR)
 Pruning filters forefficient convnets,2017, In International Conference on Learning Representations (ICLR)
 Sparse training via boostingpruning plasticity with neuroregeneration,2021, In Proceedings of the Annual Conference on NeuralInformation Processing Systems (NeurIPS)
 Proving the lottery tickethypothesis: Pruning is all you need,2020, In Proceedings of the International Conference on MachineLearning (ICML)
 Pruning convolutionalneural networks for resource efficient inference,2017, In International Conference on Learning Repre-sentations (ICLR)
 Skeletonization: A technique for trimming the fat from anetwork via relevance assessment,1989, In Advances in Neural Information Processing Systems (NIPS)
 Comparing rewinding and fine-tuning in neuralnetwork pruning,2020, In International Conference on Learning Representations (ICLR)
 Learning internal representations by errorpropagation,1986, In Parallel Distributed Processing
 Nonparametric regression using deep neural networks with ReLU acti-vation function,2020, The Annals of Statistics
 Learning symmetry groups withhidden units: beyond the perceptron,1986, Physica D: Nonlinear Phenomena
 Generalized dropout,2016, arXiv preprint arXiv:1611
 Pruning neural networkswithout any data by iteratively conserving synaptic flow,2020, In Proceedings of the Annual Conferenceon Neural Information Processing Systems (NeurIPS)
 Highly accUrate protein strUctUre prediction forthe hUman proteome,2021, Nature
 Discrete foUrier transform compUtation Using neUral networks,2008, In Proceedings ofthe International Conference on Computational Intelligence and Security
 PrUning via iterative ranking of sensitivity statis-tics,2020, arXiv preprint arXiv:2006
 Picking winning tickets before training bypreserving gradient flow,2020, In International Conference on Learning Representations (ICLR)
 Generalization by weight-elimination with application to forecasting,1991, In Advances in Neural Information Processing Sys-tems (NIPS)
 Optimal approximation of continUoUs fUnctions by very deep relU networks,2018, InProceedings of the Conference On Learning Theory (COLT)
 Drawing early-bird tickets: Toward more efficient trainingof deep networks,2020, In International Conference on Learning Representations (ICLR)
