title,year,conference
 A theoretical analysis of contrastive unsupervised representation learning,2019, arXiv preprintarXiv:1902
 Learning representations by maximizingmutual information across views,2019, arXiv preprint arXiv:1906
 wav2vec 2,2020,0: A frameworkfor self-supervised learning of speech representations
 Domaingeneralization by marginal transfer learning,2017, arXiv preprint arXiv:1711
 Stable signal recovery from incompleteand inaccurate measurements,2006, Communications on Pure and Applied Mathematics: A JournalIssued by the Courant Institute of Mathematical Sciences
 A simple framework forcontrastive learning of visual representations,2020, In International conference on machine learning
 Matrix multiplication via arithmetic progressions,1987, InProceedings of the nineteenth annual ACM symposium on Theory of computing
 Kernel measures ofconditional dependence,2007, In NIPS
 Generative adversarial nets,2014, Advances in neural informationprocessing systems
 Noise-contrastive estimation: A new estimation principlefor unnormalized statistical models,2010, In Proceedings of the thirteenth international conference onartificial intelligence and statistics
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Momentum contrast forunsupervised visual representation learning,2020, In Proceedings of the IEEE/CVF Conference onComputer Vision and Pattern Recognition
 Learning deep representations by mutual information estimationand maximization,2018, arXiv preprint arXiv:1808
 Hardnegative mixing for contrastive learning,2020, arXiv preprint arXiv:2010
 Supervised contrastive learning,2020, arXiv preprintarXiv:2004
 Learning multiple layers of features from tiny images,2009,2009
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Predicting what you already know helps:Provable self-supervised learning,2020, arXiv preprint arXiv:2008
 Representation learning with contrastive predictivecoding,2018, arXiv preprint arXiv:1807
 Swapping autoencoder for deep image manipulation,2020, arXiv preprint arXiv:2007
 Learning transferable visualmodels from natural language supervision,2021, arXiv preprint arXiv:2103
 Contrastive learning withhard negative samples,2020, arXiv preprint arXiv:2010
 Imagenet large scale visual recognitionchallenge,2015, International journal of computer vision
 D2c: Diffusion-denoising modelsfor few-shot conditional generation,2021, arXiv preprint arXiv:2106
 Kernel embeddings of conditional distributions: Aunified kernel framework for nonparametric inference in graphical models,2013, IEEE Signal ProcessingMagazine
 Noise contrastive meta-learning for conditional density estimation using kernel mean embeddings,2021, In InternationalConference on Artificial Intelligence and Statistics
 Integrating auxiliary information in self-supervised learning,2021, arXiv preprintarXiv:2106
 Self-supervised representation learning with relative predictive coding,2021, arXivpreprint arXiv:2103
 Conditional contrastive learning: Removing undesirable information in self-supervised representations,2021, arXiv preprint arXiv:2106
 Self-supervisedlearning from a multi-view perspective,2021, In ICLR
 On mutualinformation maximization for representation learning,2019, arXiv preprint arXiv:1907
 Conditional negativesampling for contrastive learning of visual representations,2020, arXiv preprint arXiv:2010
 Large batch training of convolutional networks,2017, arXivpreprint arXiv:1708
 Fine-grained visual comparisons with local learning,2014, In Proceedingsof the IEEE Conference on Computer Vision and Pattern Recognition
