title,year,conference
 GluonTS: Probabilistic and neuraltime series modeling in python,2020, Journal of Machine Learning Research
 An Empirical Evaluation of Generic Convolutionaland Recurrent Networks for Sequence Modeling,2018, arXiv:1803
 Large Scale GAN Training for High FidelityNatural Image Synthesis,2018, arXiv:1809
 Empirical properties of asset returns: stylized facts and statistical issues,2001, QuantitativeFinance
 Multi-Scale Convolutional Neural Networks for TimeSeries Classification,2016, arXiv:1603
 GANSynth: Adversarial neural audio synthesis,2019, In International Conference on LearningRepresentations
 Unsupervised scalable representationlearning for multivariate time series,2019, In Advances in Neural Information Processing Systems
 Generative adversarial networks,2014, arXiv:1406
 Ganstrained by a two time-scale update rule converge to a local nash equilibrium,2017, In Advances in NeuralInformation Processing Systems
 A style-based generator architecture for generativeadversarial networks,2019, In Proceedings of the IEEE/CVF Conference on Computer Vision andPattern Recognition (CVPR)
 Adam: A Method for Stochastic Optimization,2014, arXiv:1412
 Deep rao-blackwellised particle filters for time series forecasting,2020, In Advances in NeuralInformation Processing Systems
 Modeling long- and short-termtemporal patterns with deep neural networks,2018, In The 41st International ACM SIGIR Conference onResearch and Development in Information Retrieval
 Enhancing the locality and breaking the memory bottleneck of transformer on time seriesforecasting,2019, In Advances in Neural Information Processing Systems
 Temporal fusion transformers forinterpretable multi-horizon time series forecasting,2021, International Journal of Forecasting
 Adversarial ranking forlanguage generation,2017, In Advances in Neural Information Processing Systems
 Leastsquares generative adversarial networks,2017, In Proceedings of the IEEE International Conference onComputer Vision (ICCV)
 Spectral normalization forgenerative adversarial networks,2018, In International Conference on Learning Representations
 Conditional Sig-WassersteinGANs for Time Series Generation,2020, arXiv:2006
 N-beats: Neural basisexpansion analysis for interpretable time series forecasting,2020, In International Conference onLearning Representations
 Meta-learning frameworkwith applications to zero-shot time-series forecasting,2020, arXiv preprint arXiv:2002
 Autoregressive denoisingdiffusion models for multivariate probabilistic time series forecasting,2021, In International Conferenceon Machine Learning
 Seeing is Not Necessarily Believing: Limitations of BigGANs forData Augmentation,2019, March 2019
 Improved techniques for training GANs,2016, In D
 Deepar: Probabilisticforecasting with autoregressive recurrent networks,2020, International Journal of Forecasting
 Decision-Aware Conditional GANs for TimeSeries Data,2020, arXiv:2009
 Rethinkingthe inception architecture for computer vision,2016, In Computer Vision and Pattern Recognition
 Modeling financial time-series withgenerative adversarial networks,2019, Physica A Statistical Mechanics and its Applications
 WaveNet: A Generative Model forRaw Audio,2016, arXiv:1609
 Attention is all you need,2017, In Advances in Neural InformationProcessing Systems
 Time series classification from scratch with deepneural networks: A strong baseline,2017, In 2017 International Joint Conference on Neural Networks(IJCNN)
 Quant gans: deep generation offinancial time series,2020, Quantitative Finance
 Adversarial sparsetransformer for time series forecasting,2020, In Advances in Neural Information Processing Systems
 Empirical Evaluation of Rectified Activations inConvolutional Network,2015, arXiv:1505
 Self-attention generativeadversarial networks,2019, In International Conference on Machine Learning
 Ssim—a deep learning approach forrecovering missing time series sensor data,2019, IEEE Internet of Things Journal
