title,year,conference
 A comparison of extrinsic cluster-ing evaluation metrics based on formal constraints,2009, Information retrieval
 Wait-free parallel algorithms for the union-find problem,1991, InProceedings of the twenty-third annual ACM symposium on Theory of computing
 Algorithms for scoring coreference chains,1998, In The first inter-national conference on language resources and evaluation workshop on linguistics coreference
 Tagperson: A target-aware generation pipeline for person re-identification,2021, arXiv preprintarXiv:2112
 Nearest neighbor pattern classification,1967, IEEE transactions on infor-mation theory
 Arcface: Additive angular marginloss for deep face recognition,2019, In Proceedings of the IEEE/CVF Conference on Computer Visionand Pattern Recognition
 A density-based algorithm fordiscovering clusters in large spatial databases with noise,1996, In Kdd
 Framewise phoneme classification with bidirectional lstmand other neural network architectures,2005, Neural networks
 Density-awarefeature embedding for face clustering,2020, In Proceedings of the IEEE/CVF Conference on ComputerVision and Pattern Recognition
 Inductive representation learning on largegraphs,2017, arXiv preprint arXiv:1706
 Delving deep into rectifiers: Surpassinghuman-level performance on imagenet classification,2015, In Proceedings of the IEEE internationalconference on computer vision
 Fastreid: A pytorchtoolbox for general instance re-identification,2020, arXiv preprint arXiv:2006
 Robust estimation of a location parameter,1992, In Breakthroughs in statistics
 Exploring the quality ofgan generated images for person re-identification,2021, In Proceedings of the 29th ACM InternationalConference on Multimedia
 Semi-supervised classification with graph convolutional net-works,2017, In International Conference on Learning Representations (ICLR)
 Deepfashion: Powering robustclothes recognition and retrieval with rich annotations,2016, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Least squares quantization in pcm,1982, IEEE transactions on information theory
 Clusformer:A transformer based clustering approach to unsupervised large-scale face and visual landmarkrecognition,2021, In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recog-nition
 Information Retrieval,1979, Butterworth-Heinemann
 Modeling relational data with graph convolutional networks,2018, In European semantic webconference
 Bidirectional recurrent neural networks,1997, IEEE transactionson Signal Processing
 Structure-aware face clustering on a large-scale graph with 107 nodes,2021, In Proceedings of the IEEE Confer-ence on Computer Vision and Pattern Recognition
 Slink: an optimally efficient algorithm for the single-link cluster method,1973, The com-puter journal
 Graph attention networks,2018, In 6th International Conference on Learning Representations
 Linkage based face clustering viagraph convolution network,2019, In Proceedings of the IEEE/CVF Conference on Computer Visionand Pattern Recognition
 Person transfer gan to bridge domain gap forperson re-identification,2018, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Spatial temporal graph convolutional networks forskeleton-based action recognition,2018, In Proceedings of the AAAI conference on artificial intelli-gence
 Learningto cluster faces on an affinity graph,2019, In Proceedings of the IEEE/CVF Conference on ComputerVision and Pattern Recognition
 Learningto cluster faces via confidence and connectivity estimation,2020, In Proceedings of the IEEE/CVFConference on Computer Vision and Pattern Recognition
 Un-derstanding image retrieval re-ranking: A graph neural network perspective,2020, arXiv preprintarXiv:2012
 Re-ranking person re-identification withk-reciprocal encoding,2017, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
