title,year,conference
 Don¡¯t just assume;look and answer: Overcoming priors for visual question answering,2018, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Genattack: Prac-tical black-box attacks with gradient-free optimization,2018, CoRR
 Vqa: Visual question answering,2015, In Proceedings of the IEEE InternationalConference on Computer Vision (ICCV)
 Investigating gender bias in bert,2021, Cog-nitive Computation
 Uniter: Universal image-text representation learning,2019, In ECCV
 Uniter: Universal image-text representation learning,2020, In ECCV
 Query-efficient hard-label black-box attack: An optimization-based approach,2018, In International Confer-ence on Learning Representations
 Improving black-box ad-versarial attacks with a transfer-based prior,2019, In H
 Model-free reinforcement learning withcontinuous action in practice,2012, In 2012 American Control Conference (ACC)
 Visual turing test for com-puter vision systems,2015, Proceedings of the National Academy of Sciences
 Explaining and harnessing adversarialexamples,2015, In International Conference on Learning Representations
 Making machine learning robust againstadversarial inputs,2018, Communications of the ACM
 Die genauigkeit der formel von peters zur berechnung des wahrscheinlichen beobach-tungsfehlers director beobachtungen gleicher genauigkeit,1876, Astronomische Nachrichten
 Women alsosnowboard: Overcoming bias in captioning models,2018, In Proceedings of the European Conferenceon Computer Vision (ECCV)
 Compositional attention networks for machine rea-soning,2018, arXiv preprint arXiv:1803
 Gqa: A new dataset for real-world visual reasoningand compositional question answering,2019, In Proceedings of the IEEE/CVF conference on computervision and pattern recognition
 In defense ofgrid features for visual question answering,2020, In IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Clevr: A diagnostic dataset for compositional language and elementary visualreasoning,2017, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Inferring and executing programs for visual reasoning,2017, In ICCV
 Semantic adversarialattacks: Parametric transformations that fool deep classifiers,2019, In Proceedings of the IEEE/CVFInternational Conference on Computer Vision
 Mdetr-modulated detection for end-to-end multi-modal understanding,2021, arXiv preprintarXiv:2104
 Genie: A leaderboard for human-in-the-loop evaluation oftext generation,2021, arXiv preprint arXiv:2101
 Adversarial machine learning at scale,2016, arXivpreprint arXiv:1611
 Machine super intelligence,2008, PhD thesis
 Adversarial vqa: A new benchmark for evaluating therobustness of vqa models,2021, arXiv preprint arXiv:2106
 Continuous control with deep reinforcement learning,2016, In ICLR(Poster)
 Object-centric learning with slot attention,2020, In Neural Information Processing Systems(NeurIPS)
 Vilbert: Pretraining task-agnostic visiolin-guistic representations for vision-and-language tasks,2019, arXiv preprint arXiv:1908
 Vergelichung Von ZWei Werthen des WahrscheinIichen fehlers,1876, Astronomische Nachrichten
 A multi-World approach to question ansWering about real-World scenes based on uncertain input,2014, Advances in neural information processing systems
 Learning visual questionanswering by bootstrapping hard attention,2018, In Proceedings of the European Conference on Com-Puter Vision (ECCV)
 Transparency by design: Clos-ing the gap between performance and interpretability in visual reasoning,2018, In The IEEE Conferenceon ComPuter Vision and Pattern Recognition (CVPR)
 Asynchronous methods for deep reinforcementlearning,2016, In Maria Florina Balcan and Kilian Q
 Deepfool: A simple andaccurate method to fool deep neural networks,2016, In Proceedings of the IEEE Conference on Com-Puter Vision and Pattern Recognition (CVPR)
 Universaladversarial perturbations,2017, In Proceedings of the IEEE conference on comPuter vision and Patternrecognition
 Adversarial nli: A new 521benchmark for natural language understanding,2020, In Proceedings of the 58th Annual Meeting of the522 Association for ComPutational Linguistics
 Practical black-box attacks against machine learning,2017, In Proceedings of the 2017 ACMon Asia conference on comPuter and communications security
 Film: Visualreasoning with a general conditioning layer,2018, In AAAI
 Measuring and improving bert¡¯s math-ematical abilities by predicting the order of reasoning,2021, In Chengqing Zong
 A simple neural network module for relational reasoning,2017, InI
 Human-adversarial visual question answering,2021, arXiv PrePrintarXiv:2106
 Vl-bert: Pre-training of generic visual-linguistic representations,2020, In International Conference on LearningRePresentations
 Reinforcement Learning: An Introduction,2018, The MIT Press
 Lxmert: Learning cross-modality encoder representations from trans-formers,2019, In Proceedings of the 2019 Conference on Empirical Methods in Natural LanguageProcessing
 Movieqa: Understanding stories in movies through question-answering,2016, In Proceedingsofthe IEEE conference on computer vision and pattern recognition
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Visual commonsense r-cnn,2020, In Pro-ceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition
 Simvlm: Sim-ple visual language model pretraining with weak supervision,2021, arXiv preprint arXiv:2108
 Sample efficient actor-critic with experience replay,2016, CoRR
 Scalable trust-region method for deep reinforcement learning using kronecker-factored approximation,2017, InI
 Stacked attention networksfor image question answering,2016, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 Activitynet-qa: A dataset for understanding complex web videos via question answering,2019, In Proceedings ofthe AAAI Conference on Artificial Intelligence
 Adversarial attacks beyond the image space,2019, In Proceedings of theIEEE/CVF Conference on Computer Vision and Pattern Recognition
 Vinvl: Revisiting visual representations in vision-language models,2021, In Proceedingsof the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
