title,year,conference
 Tweet-Eval: Unified benchmark and comparative evaluation for tweet classification,2020, In Findings ofthe Association for Computational Linguistics: EMNLP 2020
 A model of inductive bias learning,2000, Journal of artificial intelligence research
 Semantic parsing on Freebase fromquestion-answer pairs,2013, In Proceedings of the 2013 Conference on Empirical Methods in NaturalLanguage Processing
 Abductive commonsensereasoning,2020, In International Conference on Learning Representations
 Piqa: Reasoningabout physical commonsense in natural language,2020, In Thirty-Fourth AAAI Conference on ArtificialIntelligence
 Nuancedmetrics for measuring unintended bias with real data for text classification,9781, In Compan-ion Proceedings of The 2019 World Wide Web Conference
 Language models are few-shotlearners,2020, In Hugo Larochelle
 Multitask learning,1997, Machine learning
 Pre-trainingtasks for embedding-based large-scale retrieVal,2020, arXiv preprint arXiv:2002
 QuAC: Question answering in context,2018, In Proceedings of the 2018 Con-ference on Empirical Methods in Natural Language Processing
 A unified architecture for natural language processing: Deepneural networks with multitask learning,9781, In Proceedings of the 25th International Conferenceon Machine Learning
 The pascal recognising textual entailment chal-lenge,2006, In JoaqUin Quinonero-Candela
 The CommitmentBank: In-Vestigating projection in naturally occurring discourse,2019,2019
 GoEmotions: A dataset of fine-grained emotions,2020, In Proceedings of the 58th An-nual Meeting of the Association for Computational Linguistics
 BERT: Pre-training of deepbidirectional transformers for language understanding,2019, In Proceedings of the 2019 Conferenceof the North American Chapter of the Association for Computational Linguistics: Human Lan-guage Technologies
 ERASER: A benchmark to eValuate rationalized NLP models,2020, In Proceed-ings of the 58th Annual Meeting of the Association for Computational Linguistics
 Wizardof Wikipedia: Knowledge-powered conversational agents,2019, In Proceedings of the InternationalConference on Learning Representations (ICLR)
 Semantic Noise Matters for Neural NaturalLanguage Generation,2019, In Proceedings of the 12th International Conference on Natural LanguageGeneration (INLG 2019)
 Multi-neWs: A large-scale multi-document summarization dataset and abstractive hierarchical model,2019, In Proceedingsof the 57th Annual Meeting of the Association for Computational Linguistics
 Wikilingua: A neW benchmarkdataset for multilingual abstractive summarization,2020, In Findings of EMNLP
 Efficientlyidentifying task groupings for multi-task learning,2021, arXiv preprint arXiv:2109
