title,year,conference
 Emergent tool use from multi-agent autocurricula,2019, In ICLR
 Mirror descent and nonlinear projected subgradient methods forconvex optimization,2003, Operations Research Letters
 Stochastic multi-armed-bandit problem with non-stationary rewards,2014, In NeurIPS
 Akernel-based approach to non-stationary reinforcement learning in metric spaces,2021, In InternationalConference on Artificial Intelligence and Statistics
 Model-agnostic meta-learning for fast adaptation ofdeep networks,2017, In ICML
 Learning with opponent-learning awareness,2018, In AAMAS
 Stabilising experience replay for deep multi-agentreinforcement learning,2017, In ICML
 A sliding-window algorithm for Markov decisionprocesses with arbitrarily changing rewards and transitions,2018, arXiv preprint arXiv:1805
 A theory of regularized markov decisionprocesses,2019, In ICML
 Cooperative multi-agent control usingdeep reinforcement learning,2017, In AAMAS
 Soft actor-critic: Off-policymaximum entropy deep reinforcement learning with a stochastic actor,2018, In ICML
 Dynamic programming for partiallyobservable stochastic games,2004, In AAAI
 Noisy-MAPPO: Noisy advantage values for cooperative multi-agent actor-critic methods,2021, arXiv preprint arXiv:2106
 Actor-attention-critic for multi-agent reinforcement learning,2019, In ICML
 Human-level performance in 3D multiplayer games withpopulation-based reinforcement learning,2019, Science
 Near-optimal regret bounds for reinforcementlearning,2010, Journal ofMachine Learning Research
 Approximately optimal approximate reinforcement learning,2002, InICML
 A policy gradient algorithm for learningto learn in multiagent reinforcement learning,2021, In ICML
 Trust region policy optimisation in multi-agent reinforcement learning,2021, arXiv preprintarXiv:2109
 Stableopponent shaping in differentiable games,2019, In ICLR
 Multi-agent trust region policy optimization,2020, arXiv preprintarXiv:2010
 Continuous control with deep reinforcement learning,2016, In ICLR
 Multi-agentactor-critic for mixed cooperative-competitive environments,2017, In NeurIPS
 Near-optimalmodel-free reinforcement learning in non-stationary episodic mdps,2021, In ICML
 Trust-pcl: An off-policy trustregion method for continuous control,2018, In ICLR
 Dealing withnon-stationarity in multi-agent deep reinforcement learning,2019, ArXiv
 Modeling others using oneself inmulti-agent reinforcement learning,2018, In ICML
 Trust regionpolicy optimization,2015, In ICML
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Adaptive trust region policy optimization: Globalconvergence and faster rates for regularized mdps,2020, In AAAI
 Arena: A general evaluation platform and building toolkit for multi-agent intelligence,2020, InAAAI
 PettingZoo:Gym for multi-agent reinforcement learning,2020, arXiv preprint arXiv:2009
 Revisitingparameter sharing in multi-agent deep reinforcement learning,2020, arXiv preprint arXiv:2005
 Mirror descent policyoptimization,2020, arXiv preprint arXiv:2005
 A game-theoretic approach to multi-agent trust region optimization,2021, arXiv preprint arXiv:2106
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine Learning
 Scalable trust-regionmethod for deep reinforcement learning using kronecker-factored approximation,2017, In NeurIPS
 Learning latent representa-tions to influence multi-agent interaction,2020, In CoRL
