title,year,conference
 Large scale GAN training for high fidelitynatural image synthesis,2019, In International Conference on Learning Representations
 A sawtooth waveform inspired pitch estimator for speech andmusic,2008, The Journal of theAcoustical Society ofAmerica
 Wave-grad: Estimating gradients for waveform generation,2021, In International Conference on LearningRepresentations
 Variational lossy autoencoder,2017, In International Conference onLearning Representations
 Taming transformers for high-resolution imagesynthesis,2020, arXiv preprint arXiv:2012
 Generative adversarial nets,2014, In Advances in neural infor-mation processing systems
 Denoising diffusion probabilistic models,2020, InH
 The lj speech dataset,2017, https://keithito
 Diff-TTS: A Denoising Diffusion Model for Text-to-Speech,2021, In Proc
 Efficient neuralaudio synthesis,2018, In International Conference on Machine Learning
 Stochastic image denoising by sampling fromthe posterior distribution,2021, arXiv preprint arXiv:2101
 Glow-tts: A generative flow fortext-to-speech via monotonic alignment search,2020, arXiv preprint arXiv:2005
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Glow: Generative flow with invertible 1x1 convolu-tions,2018, In S
 Hifi-gan: Generative adversarial networks forefficient and high fidelity speech synthesis,2020, arXiv preprint arXiv:2010
 On fast sampling of diffusion probabilistic models,2021, arXiv preprintarXiv:2106
 Diffwave: A versatilediffusion model for audio synthesis,2021, In International Conference on Learning Representations
 Mel-cepstral distance measure for objective speech quality assessment,1993, In Pro-ceedings of IEEE Pacific Rim Conference on Communications Computers and Signal Processing
 Data-dependent gaussian prior objective for language generation,2019, In International Confer-ence on Learning Representations
 Denoising diffusion gamma models,2021, arXivpreprint arXiv:2110
 Stick-breaking variational autoencoders,2017, In International Con-ference on Learning Representations
 Wavenet: A generative model forraw audio,2016, arXiv preprint arXiv:1609
 Waveflow: A compact flow-based model forraw audio,2020, In International Conference on Machine Learning
 Waveglow: A flow-based generative networkfor speech synthesis,2019, In ICASSP 2019-2019 IEEE International Conference on Acoustics
 Zero-shot text-to-image generation,2021, arXiv preprint arXiv:2102
 Generating diverse high-fidelity images withvq-vae-2,2019, arXiv preprint arXiv:1906
 Fastspeech 2:Fast and high-quality end-to-end text to speech,2020, arXiv preprint arXiv:2006
 Variational inference with normalizing flows,2015, In Interna-tional Conference on Machine Learning
 Deep unsuper-vised learning using nonequilibrium thermodynamics,2015, In International Conference on LearningRepresentations
 Denoising diffusion implicit models,2020, In Interna-tional Conference on Learning Representations
 Score-based generative modeling through stochastic differential equations,2021, In Interna-tional Conference on Learning Representations
 Spectral analysis of signals,2005,2005
 Vae with a vampprior,2018, In International Conference on ArtificialIntelligence and Statistics
 NVAE: A deep hierarchical variational autoencoder,2020, In Neural Infor-mation Processing Systems (NeurIPS)
 Parallel wavegan: A fast waveform gen-eration model based on generative adversarial networks with multi-resolution spectrogram,2020, InICASSP 2020-2020 IEEE International Conference on Acoustics
