title,year,conference
 Implementing the Dantzig-Fulkerson-Johnson algorithm for large traveling salesman problems,2003, Mathematical Programming
 The Traveling Salesman Prob-lem: A Computational Study,2006, Princeton University Press
 Knowledge-guided local search for the vehicle routing Prob-lem,2019, Computers & Operations Research
 What makes a VRP solution good? The generation ofproblem-specific knowledge for heuristics,2019, Computers & Operations Research
 Neural combinatorialoptimization with reinforcement learning,2016, arXiv preprint arXiv:1611
 Machine learning for combinatorial opti-mization: A methodological tour d’horizon,2021, European Journal of Operational Research
 Combinatorial optimization and reasoning with graph neural networks,2021, arXivpreprintarXiv:2102
 A method for solving traveling-salesman problems,1958, Operations Research
 Learning 2-optheuristics for the traveling salesman problem via deep reinforcement learning,2020, arXiv preprintarXiv:2004
 Learning combinatorial opti-mization algorithms over graphs,2017, In International Conference on Neural Information ProcessingSystems
 Learning heuristics for the TSP by policy gradient,2018, In Integration of Constraint Pro-gramming
 General k-opt submoves for the Lin-Kernighan TSP heuristic,2009, Mathematical Pro-gramming Computation
 An extension of the Lin-Kernighan-Helsgaun TSP solver for constrained travelingsalesman and vehicle routing problems,2017, Technical report
 An efficient graph convolutional networktechnique for the travelling salesman problem,2019, arXiv preprint arXiv:1906
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 A comparison of three methods for selectingvalues of input variables in the analysis of output from a computer code,1979, Technometrics
 A branch-and-cut algorithm for the resolution of large-scalesymmetric traveling salesman problems,1990, Society for Industrial and Applied Mathematics
 Emulationof physical processes with emukit,2019, In Second Workshop on Machine Learning and the PhysicalSciences
 A parallel route building algorithm for the vehiclerouting and scheduling problem with time windows,1993, European Journal of Operational Research
 Shortest connection networks and some generalizations,1957, The Bell System TechnicalJournal
 Speech understanding systems: Summary of results of the five-year researcheffort at Carnegie-Mellon University,1977, Technical report
 Making best use of model evaluations to compute sensitivity indices,2002, ComputerPhysics Communications
 Neural networks for combinatorial optimization: A review of more than a decade ofresearch,1999, INFORMS Journal on Computing
 Attention is all you need,2017, In Advances in Neural Infor-mation Processing Systems
 Graph attention networks,2017, arXiv preprint arXiv:1710
 Pointer networks,2015, arXiv preprintarXiv:1506
 Guided local search and its application to the travelingsalesman problem,1999, European Journal of Operational Research
 Learning improvement heuris-tics for solving routing problems,2020, arXiv preprint arXiv:1912
