title,year,conference
 Zero-shot objectdetection,2018, CoRR
 Towards open set deep networks,2016, In CVPR
 Cascade R-CNN: Delving into high quality object detection,2018, InCVPR
 End-to-End object detection with transformers,2020, In ECCV
 Efficientlifelong learning with a-gem,2018, arXiv preprint arXiv:1812
 Virtex: Learning visual representations from textual annotations,2021, InCVPR
 BERT: pre-training of deepbidirectional transformers for language understanding,2019, In NAACL-HLT
 The overlooked elephantof object detection: Open set,2020, In WACV
 The overlookedelephant of object detection: Open set,2020, In WACV
 CenterNet:Keypoint triplets for object detection,2019, In ICCV
 Object detection withdiscriminatively trained part based models,2010, T-PAMI
 Devise: A deep visual-semantic embedding model,2013, 2013
 Fast R-CNN,2015, In ICCV
 Rich feature hierarchies for accurateobject detection and semantic segmentation,2014, In CVPR
 Zero-shot detection via vision and languageknowledge distillation,2021, CoRR
 Deep residual learning for imagerecognition,2016, In CVPR
 Acquisition of localizationconfidence for accurate object detection,2018, In ECCV
 Towards openworld object detection,2021, In CVPR
 Meta-consolidation for continual learning,2020, arXiv preprintarXiv:2010
 Learning visual n-grams from webdata,2017, In Proceedings of the IEEE International Conference on Computer Vision
 Microsoft COCO: Common objects in context,2014, In ECCV
 Focal loss for dense objectdetection,2017, In ICCV
 SSD: Single shot multibox detector,2016, In ECCV
 Large-margin softmax loss for convolu-tional neural networks,2016, In ICML
 Large-scalelong-tailed recognition in an open world,2019, In CVPR
 Why?: What makes us curious,2017, Simon and Schuster
 Wisdom and the context of knowledge: Knowing that one doesn’t know,1983, On thedevelopment of developmental psychology
 Dropout sampling for robustobject detection in open-set conditions,2018, In ICRA
 Dropout sampling for robustobject detection in open-set conditions,2018, In ICRA
 Dropout sampling for robustobject detection in open-set conditions,2018, In ICRA
 Faster ILOD: incremental learning for object detectorsbased on faster RCNN,2020, Pattern Recognit
 Learning transferable visualmodels from natural language supervision,2021, arXiv preprint arXiv:2103
 YOLOv3: An incremental improvement,2018, arXiv preprintarXiv:1804
 Faster R-CNN: Towards real-time objectdetection with region proposal networks,2015, In NeurIPS
 Incremental learning of object detectorswithout catastrophic forgetting,2017, In ICCV
 Incremental learning of object detectorswithout catastrophic forgetting,2017, In ICCV
 Onenet: Towardsend-to-end one-stage object detection,2020, arXiv preprint arXiv:2012
 Sparse r-cnn: End-to-end object detection withlearnable proposals,2020, arXiv preprint arXiv:2011
 FCOS: Fully convolutional one-stage objectdetection,2019, In ICCV
 Largescale incremental learning,2019, In CVPR
 Adaptive semantic-visual tree forhierarchical embeddings,2019, ACM MM
 Free lunch for few-shot learning: Distribution calibration,2021, In ICLR
 Single-view 3d object reconstructionfrom shape priors in memory,2021, In CVPR
 Open-vocabulary objectdetection using captions,2021, In CVPR
 Cascade RetinaNet:Maintaining consistency for single-stage object detection,2019, In BMVC
 FreeAnchor: Learning tomatch anchors for visual object detection,2019, In NeurIPS
 Objects as points,2019, arXiv preprintarXiv:1904
 Bottom-uP object detection by grouPingextreme and center Points,2019, In CVPR
