title,year,conference
 Recovering communities in the general stochastic block modelwithout knowing the parameters,2015, arXiv preprint arXiv:1506
 Globally optimal gradient descent for a convnet with gaussianinputs,2017, In International conference on machine learning
 Stochastic training of graph convolutional networks withvariance reduction,2017, arXiv preprint arXiv:1710
 Fastgcn: fast learning with graph convolutional networks viaimportance sampling,2018, arXiv preprint arXiv:1801
 Concentration of Measure for the Analysis of RandomizedAlgorithms,9781, Cambridge University Press
 Large-scale learnable graph convolutionalnetworks,2018, In Proceedings of the 24th ACM SIGKDD International Conference on KnowledgeDiscovery & Data Mining
 Generalization and representational limits ofgraph neural networks,2020, In International Conference on Machine Learning
 Learning one-hidden-layer neural networks with landscapedesign,2017, CoRR
 Superpolynomiallower bounds for learning one-layer neural networks using gradient descent,2020, In InternationalConference on Machine Learning
 Stochastic blockmodels: Firststeps,1983, Social networks
 Mean-field theory of graph neuralnetworks in graph partitioning,2019, Journal of Statistical Mechanics: Theory and Experiment
 Stochastic modelsfor the web graph,2000, In Proceedings 41st Annual Symposium on Foundations of Computer Science
 Deeper insights into graph convolutional networksfor semi-supervised learning,2018, In Proceedings of the AAAI Conference on Artificial Intelligence
 Weisfeiler and leman go neural: Higher-order graph neural networks,2019, InProceedings ofthe AAAI Conference on Artificial Intelligence
 Approximation ratios of graph neural networksfor combinatorial problems,2019, arXiv preprint arXiv:1905
 Gradient descent for one-hidden-layer neural networks: Poly-nomial convergence and sq lower bounds,3115, In Conference on Learning Theory
 A comprehensive survey on graph neuralnetworks,2021, IEEE Transactions on Neural Networks and Learning Systems
 Lovasz convolutional networks,2019, In The 22nd International Conference onArtificial Intelligence and Statistics
 Understandingdeep learning requires rethinking generalization,2016, arXiv preprint arXiv:1611
 Learning one-hidden-layer relunetworks via gradient descent,2019, In The 22nd International Conference on Artificial Intelligence andStatistics
 Bayesian graph convolutionalneural networks for semi-supervised classification,2019, Proceedings of the AAAI Conference onArtificial Intelligence
 Graph neural networks: A review of methods and applications,2018, arXiv preprintarXiv:1812
