title,year,conference
 Screening Sinkhorn al-gorithm for regularized optimal transport,2019, In Advances in Neural Information Processing Systems
 Near-linear time approximation algorithmsfor optimal transport via Sinkhorn iteration,2017, In Advances in Neural Information Processing Sys-tems
 Faster first-order primal-dual methodsfor linear programming using restarts and sharpness,2021, arXiv preprint arXiv:2105
 Convex analysis and monotone operator theory inHilbert spaces,2017, Springer
 Projecting onto rectangular matrices withprescribed row and column sums,2021, arXiv preprint arXiv:2105
 Smooth and sparse optimal transport,2018, In Inter-national Conference on Artificial Intelligence and Statistics
 A first-order primal-dual algorithm for convex problemswith applications to imaging,2011, Journal of mathematical imaging and vision
 Professional CUDA C programming,2014, John Wiley& Sons
 Optimal transport for do-main adaptation,2016, IEEE transactions on pattern analysis and machine intelligence
 Sinkhorn distances: Lightspeed computation of optimal transport,2013, Advances in neuralinformation processing systems
 On the numerical solution of heat conduction problems in twoand three space variables,1956, Transactions of the American mathematical Society
 On the Douglas-Rachford splitting method and theproximal point algorithm for maximal monotone operators,1992, Mathematical Programming
 The primal Douglas-Rachford splitting algorithm for a class of monotone map-pings with application to the traffic equilibrium problem,1996, Mathematical Programming
 A dual algorithm for the solution of nonlinear variationalproblems via finite element approximation,1976, Computers & mathematics with applications
 COSMO: A conic operator splitting method forconvex conic problems,2021, Journal of Optimization Theory and Applications
 Linear convergence and metric selection for Douglas-Rachfordsplitting and admm,2016, IEEE Transactions on Automatic Control
 Programming massively parallel processors: a hands-onapproach,2016, Morgan kaufmann
 Sharp Lipschitz constants for basic optimal solutions and basic feasible solutions of linearprograms,1994, SIAM journal on control and optimization
 Local convergence properties of Douglas-Rachfordand alternating direction method of multipliers,2017, Journal of Optimization Theory and Applications
 On efficient optimal transport: An analysis of greedyand accelerated mirror descent algorithms,2019, In International Conference on Machine Learning
 Splitting algorithms for the sum of two nonlinear opera-tors,1979, SIAM Journal on Numerical Analysis
 Conic optimization via operatorsplitting and homogeneous self-dual embedding,2016, Journal of Optimization Theory and Applica-tions
 Computational optimal transport,2019, Foundations and Trends® inMachine Learning
 Monotone operators and the proximal point algorithm,1976, SIAM journal oncontrol and optimization
 Easy transportation-like problems onk-dimensional arrays,1990, Journal of optimizationtheory and applications
 Optimal-transport analysis of single-cellgene expression identifies developmental trajectories in reprogramming,2019, Cell
 OSQP:An operator splitting solver for quadratic programs,2020, Mathematical Programming Computation
