title,year,conference
 Guided open vocabulary im-age captioning with constrained beam search,2017, In Proceedings of the 2017 Conference on Empir-ical Methods in Natural Language Processing
 Inference of regular expres-sions for text extraction from examples,2016, IEEE Transactions on Knowledge and Data Engineer-ing
 Deterministic regular languages,1992, In Alain Finkel andMatthias Jantzen (eds
 Optimal linguistic decoding is a difficult computational prob-lem,1999, Pattern Recognition Letters
 On the shortest arborescence of a directed graph,1965, Scientia Sinica
 BERT: Pre-training of deepbidirectional transformers for language understanding,4171, In Proceedings of the 2019 Conference ofthe North American Chapter of the Association for Computational Linguistics: Human LanguageTechnologies
 Regular language induction with genetic programming,1994, InProceedings of the First IEEE Conference on Evolutionary Computation
 Optimal branchings,1967, Journal of Research of the National Bureau of Standards
 Parameter estimation for probabilistic finite-state transducers,1001, In Proceedings ofthe 40th Annual Meeting of the Association for Computational Linguistics
 Inapproximability of nondeterministic state and transitioncomplexity assuming P6= NP,2007, In International Conference on Developments in Language Theory
