title,year,conference
 Neural machine translation by jointly learning toalign and translate,2014, arXiv:1409
 Monet: Unsupervised scene decomposition and representation,2019, arXiv:1901
 Pi-gan: Periodic implicitgenerative adversarial networks for 3d-aware image synthesis,2020, arXiv:2012
 Shapenet: an information-rich 3d model reposi-tory,2015, arXiv:1512
 Learning to infer 3d object models from images,2020, arXiv:2006
 Learning phrase representations using rnn encoder-decoder for statistical machinetranslation,2014, arXiv:1406
 Unsupervised object discovery and localization inthe wild: Part-based matching with bottom-up region proposals,2015, In CVPR
 Spatially invariant unsupervised object detection with convolutional neuralnetworks,2019, In AAAI
 Attention is not all you need: Pure attention losesrank doubly exponentially with depth,2020, arXiv:2103
 Genesis: Generative scene inferenceand sampling with object-centric latent representations,2019, arXiv:1907
 Fastnerf: High-fidelity neural rendering at 200fps,2021, arXiv:2103
 Unsupervised learning of categories from sets of partially matching imagefeatures,2006, In CVPR
 Tagger:Deep unsupervised perceptual grouping,2016, arXiv:1606
 Multi-object representation learning with iterativevariational inference,2019, In ICML
 Scalable object-oriented sequentialgenerative models,2019, arXiv:1910
 Perceptual losses for real-time style transfer and super-resolution,2016, In ECCV
 Analyzing andimproving the image quality of stylegan,2020, In CVPR
 Nerf-vae: A geometry aware 3d scene generative model,2021, arXiv:2104
 3d-rcnn: Instance-level 3d object reconstruction via render-and-compare,2018, In CVPR
 Group-wise deep object co-segmentation withco-attention recurrent neural network,2019, In CVPR
 Space: Unsupervised object-oriented scene representation via spatial attention anddecomposition,2020, arXiv:2001
 Neural sparse voxel fields,2020, InNeurIPS
 Effective approaches to attention-based neuralmachine translation,2015, arXiv:1508
 Optical models for direct volume rendering,1995, IEEE TVCG
 Unsupervised layered image decomposition intoobject prototypes,2021, arXiv:2104
 Donerf: Towards real-time rendering of neural radiance fields using depthoracle networks,2021, arXiv:2103
 Giraffe: Representing scenes as compositional generative neural featurefields,2020, arXiv:2011
 Differentiable volumetric rendering:Learning implicit 3d representations without 3d supervision,2020, In CVPR
 Neural scene graphs for dynamicscenes,2021, In CVPR
 DeRF: Decom-posed radiance fields,2020, arXiv:2011
 Kilonerf: Speeding up neural radiance fieldswith thousands of tiny mlps,2021, arXiv:2103
 Unsupervised joint object discovery andsegmentation in internet images,2013, In CVPR
 UnsUPervised Co-Segmentation through regionmatching,2012, In CVPR
 Using multiplesegmentations to disCover objeCts and their extent in image ColleCtions,2006, In CVPR
 Graf: Generative radianCe fields for 3d-awareimage synthesis,2020, arXiv:2007
 Discovering objectsand their location in images,2005, In ICCV
 Unsuperviseddiscovery of visual object class hierarchies,2008, In CVPR
 Decomposing 3d scenes into objects via unsupervisedvolume segmentation,2021, arXiv:2104
 Attention is all you need,2017, arXiv:1706
 Object cosegmentation,2011, In CVPR
 Image quality assessment: From errorvisibility to structural similarity,2004, IEEE TIP
 Neural scene de-rendering,2017, In CVPR
 Gan inversion: Asurvey,2018, arXiv:2101
 Pixelnerf: Neural radiance fields from one or fewimages,2020, arXiv:2012
 Plenoctrees for real-timerendering of neural radiance fields,2021, arXiv:2103
 The unreasonable effectivenessof deep features as a perceptual metric,2018, In CVPR
 On the continuity of rotation representations inneural networks,2012, In CVPR
