title,year,conference
 Optimisation and stability theory for economic analysis,1990, CambridgeUniversity Press
 Learning imbalanceddatasets with label-distribution-aware margin loss,2019, Advances in Neural Information ProcessingSystems
 Risk bounds for over-parameterized maximum mar-gin classification on sub-Gaussian mixtures,2021, arXiv preprint arXiv:2104
 Finite-sample analysis of interpolating linear classifiers inthe overparameterized regime,2021, Journal of Machine Learning Research
 The implicit bias of gradient descent on nonseparable data,2019, InConference on Learning Theory
 Directional convergence and alignment in deep learning,2020, In Advancesin Neural Information Processing Systems
 Gradient descent follows theregularization path for general losses,2020, In Conference on Learning Theory
 Impossibility of successful classification when useful features are rare and weak,2009, Pro-ceedings of the National Academy of Sciences
 Interpolating classifiers make few mistakes,2021, arXiv preprintarXiv:2101
 Long-tail learning via logit adjustment,2020, In International Conference on LearningRepresentations
 Convergence of gradient descent on separable data,2019, In Conference onArtificial Intelligence and Statistics
 Distributionally robustneural networks for group shifts: On the importance of regularization for worst-case generaliza-tion,2019, arXiv preprint arXiv:1911
 Improving predictive inference under covariate shift by weighting the log-likelihood function,2000, Journal of Statistical Planning and Inference
 The im-plicit bias of gradient descent on separable data,2018, Journal of Machine Learning Research
 Benign overfitting in binary classification of Gaussian mix-tures,2021, In IEEE International Conference on Acoustics
 Robust learning under uncertain test distribu-tions: Relating covariate shift to model misspecification,2014, In International Conference on MachineLearning
 Understanding the role of importance weighting for deeplearning,2020, In International Conference on Learning Representations
 Identifying and compensatingfor feature deviation in imbalanced deep learning,2020, arXiv preprint arXiv:2001
