title,year,conference
 End-to-end object detection with transformers,2020, In ECCV
 CrossViT: Cross-attention multi-scale visiontransformer for image classification,2017, In ICCV
 Generalinstance distillation for object detection,2021, In CVPR
 An imageis worth 16x16 words: Transformers for image recognition at scale,2021, In ICLR
 You only look at one sequence: Rethinking transformer in vision through objectdetection,2021, arXiv preprint arXiv:2106
 NSML: Meet the mlaas platformwith a real-world case study,2018, arXiv preprint arXiv:1810
 Focal loss for dense objectdetection,2022, In CVPR
 Decoupled Weight decay regularization,2019, In ICLR
 A trainable system for object detection,2000, Interna-tional Journal of Computer Vision
 Faster R-CNN: ToWards real-time objectdetection With region proposal netWorks,2015, NeurIPS
 Attention is all you need,2017, In NeurIPS
 Pyramid vision transformer: A versatile backbone for dense prediction Withoutconvolutions,2021, In ICCV
 Deformable DETR:Deformable transformers for end-to-end object detection,2021, In ICLR
