title,year,conference
 New interpretablestatistics for large-scale structure analysis and generation,2020, Physical Review D
 Incorporating long-range consistency in cnn-based tex-ture generation,2017, In International Conference on Learning Representations
 Multiscale Sparse Microcanonical Models,2018, Mathematical Statis-tics andLearning
 Imagenet: A large-scale hi-erarchical image database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 Towards metamerism via foveated styletransfer,2019, In International Conference on Learning Representations
 Texture synthesis using convolutional neuralnetworks,2015, Advances in neural information processing systems
 Image style transfer using convolutionalneural networks,2016, In Proceedings of the IEEE conference on computer vision and pattern recog-nition
 Cycle-octave and related transforms in seismic signalanalysis,0016, Geoexploration
 Information theory and statistical mechanics,1957, Physical review
 Visual pattern discrimination,1962, IRE transactions on Information Theory
 Image inpainting for high-resolution texturesusing cnn texture synthesis,2018, In Proceedings of the Conference on Computer Graphics & VisualComputing
 MaximUm-entropy scattering models for financial time series,2019, In ICASSP 2019-2019 IEEE InternationalConference on Acoustics
 Combining markov random fields and convolutional neural networksfor image synthesis,2016, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Texture synthesis through convolutional neural net-works and spectrum constraints,2016, In 2016 23rd International Conference on Pattern Recognition(ICPR)
 Phase harmonic correlations and convolutionalneural networks,2020, Information and Inference: A Journal of the IMA
 Updating quasi-newton matrices with limited storage,1980, Mathematics of computation
 A parametric texture model based on joint statistics of com-plex wavelet coefficients,2000, International journal of computer vision
 A survey of exemplar-basedtexture synthesis,2018, Annals of Mathematical Sciences and Applications
 Coherent vortex extraction andsimulation of 2D isotropic turbulence,2006, Journal of Turbulence
 Deep correlations for texture synthesis,2017, ACM Transactions onGraphics (ToG)
 The steerable pyramid: a flexible architecture for multi-scalederivative computation,1995, In Proceedings
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 The portilla-simoncelli texture model: towards understandingthe early visual cortex,2021, Image Processing On Line
 Texture interpolation for prob-ing visual perception,2020, Advances in Neural Information Processing Systems
 Image content is more important than bouma’s law for scene metamers,2019, ELife
 A theory of generative convnet,2016, InInternational Conference on Machine Learning
 Cooperative training of de-scriptor and generator networks,2018, IEEE transactions on pattern analysis and machine intelligence
 Texture mixer:A network for controllable synthesis and interpolation of texture,2019, In Proceedings of the IEEE/CVFConference on Computer Vision and Pattern Recognition
 Non-stationary texture synthesis by adversarial expansion,2018, ACM Transactions on Graphics (TOG)
 Minimax entropy principle and its applicationto texture modeling,1997, Neural computation
