title,year,conference
 A test of relative similarity for model selection in generative models,2016, In InternationalConference on Learning Representations
 The model spaces M£,1999, In Metric Spaces ofNon-PositiveCurvature
 Order matters: Probabilisticmodeling of node sequence for graph generation,2021, In Marina Meila and Tong Zhang (eds
 Geodesic exponential kernels: When curvatureand linearity conflict,2015, In IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Graphgen: A scalable approach to domain-agnostic labeled graph generation,2020, In Proceedings of The Web Conference 2020
 A kernelmethod for the two-sample-problem,2007, In B
 Optimal kernel choice for large-scale two-sampletests,2012, In F
 In I,2017, Guyon
 A multivariate Kolmogorov-Smirnov test of goodness offit,1997, Statistics & Probability Letters
 Hdmapgen: A hierarchical graph generative model of highdefinition maps,2021, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition (CVPR)
 Permuta-tion invariant graph generation via score-based generative modeling,2020, In Silvia Chiappa and RobertoCalandra (eds
 Almost all trees are cospectral,1973, In Frank Harary (ed
 Generative models and model criticism via optimized maximum meandiscrepancy,2017, In International Conference on Learning Representations
 On evaluationmetrics for graph generative models,2022, In International Conference on Learning Representations
 Collective dynamics of ‘small-world’ networks,1998, Nature
 Comparingstars: On approximating graph edit distance,2009, Proceedings of the VLDB Endowment
 Tg-gan: Continuous-timetemporal graph deep generative models with time-validity constraints,2021, In Proceedings of the WebConference 2021
